,SN_Name,SN_Time,SN_RA,SN_Dec,GRB_Time,GRB_RA,GRB_Dec,Angular_Sep_deg,GRB_Fluence_J_per_m2,Trigger_ID,Fluence_Total_J_per_m2,Bruno_Class,Time_Delay_s,Entropy_Candidate,mapped_burst_id,trigger,fluence_ch1,err_ch1,fluence_ch2,err_ch2,fluence_ch3,err_ch3,fluence_ch4,err_ch4,peak_flux_64ms,err_flux_64ms,time_flux_64ms,peak_flux_256ms,err_flux_256ms,time_flux_256ms,peak_flux_1024ms,err_flux_1024ms,time_flux_1024ms,name,burst_id,tjd,time_sec,ra_deg,dec_deg,gal_lon,gal_lat,error_radius,geocenter_angle,overwrite_flag,overwritten_flag,jd,datetime,icecube_energy,icecube_matched
0,GRB 910421,1991-04-21,270.68,24.76,1991-04-21 09:14:03.756,270.68,24.76,0.0,,105.0,5.268300000000001e-07,Below Threshold,33243.756,False,910421,105.0,8.685e-07,1.0887e-08,1.3209e-06,1.4368e-08,2.0468e-06,1.7931e-07,1.0321e-06,1.7931e-07,12.761,0.544,3.84,11.857,0.265,3.84,9.937,0.123,4.16,4B,910421,8367.0,33243.756,270.68,24.76,50.75,21.19,0.53,123.48,N,N,2448367.5,1991-04-21 09:14:03.756,44729.695,True
1,GRB 910423,1991-04-23,193.47,-8.38,1991-04-23 19:54:44.716,193.47,-8.38,0.0,,107.0,2.4804100000000004e-08,Below Threshold,71684.716,False,910423,107.0,5.5032e-08,9.8234e-09,5.6918e-08,1.0321e-08,5.9237e-08,2.0034e-08,7.6854e-08,5.499e-07,0.408,0.217,-0.448,0.299,0.108,-0.256,0.2,0.053,0.128,4B,910423,8369.0,71684.716,193.47,-8.38,303.97,54.49,11.1,143.48,N,N,2448369.5,1991-04-23 19:54:44.716,44729.695,True
2,GRB 910424,1991-04-24,201.31,-45.41,1991-04-24 19:43:26.572,201.31,-45.41,0.0,,108.0,1.5156201e-07,Below Threshold,71006.572,False,910424,108.0,8.2861e-09,6.0599e-09,1.4947e-08,5.2203e-09,3.1987e-08,1.2363e-08,1.4604e-06,4.2317e-07,0.812,0.238,0.0,0.439,0.107,0.128,0.112,0.048,0.768,4B,910424,8370.0,71006.572,201.31,-45.41,309.13,17.06,13.78,90.87,N,N,2448370.5,1991-04-24 19:43:26.572,44729.695,True
3,GRB 910425A,1991-04-25,91.28999999999998,-22.77,1991-04-25 00:37:45.707,91.29,-22.77,0.0,,109.0,5.89235e-06,Below Threshold,2265.707,False,910425,109.0,4.4255e-06,3.9649e-08,7.308e-06,4.9525e-08,1.7653e-05,1.2098e-07,2.9537e-05,9.0307e-07,3.777,0.354,34.368,3.62,0.173,34.56,3.35,0.084,35.072,4B,910425,8371.0,2265.707,91.29,-22.77,228.99,-19.94,1.02,88.58,N,N,2448371.5,1991-04-25 00:37:45.707,44729.695,True
4,GRB 910425B,1991-04-25,335.94,25.77,1991-04-25 05:37:33.291,335.94,25.77,0.0,,110.0,3.09473e-07,Below Threshold,20253.291,False,910425B,110.0,4.5034e-07,3.6621e-08,4.6726e-07,4.0653e-08,1.7766e-06,1.4014e-07,4.0053e-07,7.0827e-07,0.475,0.218,0.0,0.478,0.107,0.192,0.367,0.052,0.32,4B,910425B,8371.0,20253.291,335.94,25.77,85.83,-26.27,4.79,81.93,N,N,2448371.5,1991-04-25 05:37:33.291,44729.695,True
5,GRB 910426,1991-04-26,75.82,-19.51,1991-04-26 22:14:06.699,75.82,-19.51,0.0,,111.0,5.018100000000001e-07,Below Threshold,80046.699,False,910426,111.0,1.111e-06,3.3433e-08,1.8851e-06,4.5079e-08,2.022e-06,8.8778e-08,0.0,4.3962e-07,0.774,0.257,2.624,0.649,0.124,2.816,0.589,0.061,2.88,4B,910426,8372.0,80046.699,75.82,-19.51,219.84,-32.25,2.67,161.92,N,N,2448372.5,1991-04-26 22:14:06.699,44729.695,True
6,GRB 910427,1991-04-27,78.85999999999999,-15.59,1991-04-26 22:14:06.699,75.82,-19.51,4.875,,111.0,5.018100000000001e-07,Below Threshold,6353.301,False,910426,111.0,1.111e-06,3.3433e-08,1.8851e-06,4.5079e-08,2.022e-06,8.8778e-08,0.0,4.3962e-07,0.774,0.257,2.624,0.649,0.124,2.816,0.589,0.061,2.88,4B,910426,8372.0,80046.699,75.82,-19.51,219.84,-32.25,2.67,161.92,N,N,2448372.5,1991-04-26 22:14:06.699,44729.695,True
7,GRB 910427,1991-04-27,78.85999999999999,-15.59,1991-04-27 09:05:20.747,78.86,-15.59,0.0,,114.0,2.0822000000000002e-07,Below Threshold,32720.747,False,910427,114.0,6.5931e-07,5.9408e-08,7.019e-07,7.5803e-08,7.2099e-07,1.5653e-07,0.0,1.2035e-06,0.74,0.251,-0.128,0.722,0.122,-0.128,0.516,0.059,0.576,4B,910427,8373.0,32720.747,78.86,-15.59,216.87,-28.11,9.07,170.33,N,N,2448373.5,1991-04-27 09:05:20.747,44729.695,True
8,GRB 910430,1991-04-30,135.8,2.73,1991-04-30 17:08:39.147,135.8,2.73,0.0,,130.0,3.87389e-06,Below Threshold,61719.147,False,910430,130.0,3.1859e-06,3.0566e-08,4.885e-06,3.7336e-08,1.3484e-05,1.0646e-07,1.7184e-05,7.932e-07,3.926,0.369,12.096,3.468,0.178,12.16,2.816,0.083,12.224,4B,910430,8376.0,61719.147,135.8,2.73,226.69,30.33,0.5,105.21,N,N,2448376.5,1991-04-30 17:08:39.147,44729.695,True
9,GRB 910501,1991-05-01,126.53999999999998,-0.23,1991-05-01 08:20:14.059,126.54,-0.23,0.0,,133.0,5.745370000000001e-07,Below Threshold,30014.059,False,910501,133.0,7.4327e-07,4.1611e-08,7.47e-07,4.4329e-08,2.4223e-06,1.1826e-07,1.8328e-06,8.1751e-07,0.808,0.242,144.832,0.659,0.118,143.936,0.607,0.059,144.448,4B,910501,8377.0,30014.059,126.54,-0.23,224.46,20.83,2.19,153.99,N,N,2448377.5,1991-05-01 08:20:14.059,44729.695,True
10,GRB 910503,1991-05-03,87.44999999999999,38.74,1991-05-03 07:04:12.651,87.45,38.74,0.0,,143.0,2.9217370000000004e-05,Above Threshold,25452.651,True,910503,143.0,5.7236e-06,3.4374e-08,7.5901e-06,4.308e-08,4.562e-05,1.3972e-07,0.00023324,1.2379e-06,52.008,1.426,1.28,47.569,0.682,1.344,37.634,0.301,2.88,4B,910503,8379.0,25452.651,87.45,38.74,172.03,5.79,0.87,153.85,N,N,2448379.5,1991-05-03 07:04:12.651,44729.695,True
11,GRB 910507,1991-05-07,299.54999999999995,-44.88,1991-05-07 14:31:15.819,299.55,-44.88,0.0,,160.0,4.86023e-07,Below Threshold,52275.819,False,910507,160.0,5.1678e-07,1.9274e-08,8.3949e-07,1.7863e-08,3.0642e-06,5.3497e-08,4.3976e-07,2.2696e-07,4.21,0.411,13.952,3.0,0.188,15.744,2.584,0.089,13.952,4B,910507,8383.0,52275.819,299.55,-44.88,354.67,-30.19,0.68,138.27,N,N,2448383.5,1991-05-07 14:31:15.819,44729.695,True
12,GRB 910509,1991-05-09,339.24999999999994,38.26,1991-05-09 03:03:30.667,339.25,38.26,0.0,,171.0,1.8445900000000002e-07,Below Threshold,11010.667,False,910509,171.0,4.336e-07,3.2945e-08,4.4697e-07,2.7846e-08,7.8429e-07,5.1413e-08,1.7973e-07,2.5061e-07,1.077,0.329,0.704,0.646,0.157,0.768,0.602,0.078,1.472,4B,910509,8385.0,11010.667,339.25,38.26,95.83,-17.44,2.44,113.27,N,N,2448385.5,1991-05-09 03:03:30.667,44729.695,True
13,GRB 910511,1991-05-11,266.48,58.3,1991-05-11 02:11:47.691,266.48,58.3,0.0,,179.0,1.1144140000000001e-07,Below Threshold,7907.691,False,910511,179.0,2.5648e-07,7.7966e-09,2.7782e-07,9.7845e-09,5.0439e-07,1.9354e-08,7.5724e-08,1.3397e-07,5.249,0.369,1.984,4.736,0.178,2.048,2.5,0.071,2.304,4B,910511,8387.0,7907.691,266.48,58.3,86.76,31.32,1.66,87.32,N,N,2448387.5,1991-05-11 02:11:47.691,44729.695,True
