SN_Name,SN_Time,SN_RA,SN_Dec,GRB_Trigger,GRB_Time,GRB_RA,GRB_Dec,Angular_Sep_deg,GRB_Fluence_J_per_m2,mapped_burst_id
GRB 910421,1991-04-21,270.68,24.76,105.0,1991-04-21 09:14:03.756,270.68,24.76,0.0,,910421
GRB 910423,1991-04-23,193.47,-8.38,107.0,1991-04-23 19:54:44.716,193.47,-8.38,0.0,,910423
GRB 910424,1991-04-24,201.31,-45.41,108.0,1991-04-24 19:43:26.572,201.31,-45.41,0.0,,910424
GRB 910425A,1991-04-25,91.28999999999998,-22.77,109.0,1991-04-25 00:37:45.707,91.29,-22.77,0.0,,910425
GRB 910425B,1991-04-25,335.94,25.77,110.0,1991-04-25 05:37:33.291,335.94,25.77,0.0,,910425B
GRB 910426,1991-04-26,75.82,-19.51,111.0,1991-04-26 22:14:06.699,75.82,-19.51,0.0,,910426
GRB 910427,1991-04-27,78.85999999999999,-15.59,111.0,1991-04-26 22:14:06.699,75.82,-19.51,4.875,,910426
GRB 910427,1991-04-27,78.85999999999999,-15.59,114.0,1991-04-27 09:05:20.747,78.86,-15.59,0.0,,910427
GRB 910430,1991-04-30,135.8,2.73,130.0,1991-04-30 17:08:39.147,135.8,2.73,0.0,,910430
GRB 910501,1991-05-01,126.53999999999998,-0.23,133.0,1991-05-01 08:20:14.059,126.54,-0.23,0.0,,910501
GRB 910503,1991-05-03,87.44999999999999,38.74,143.0,1991-05-03 07:04:12.651,87.45,38.74,0.0,,910503
GRB 910507,1991-05-07,299.54999999999995,-44.88,160.0,1991-05-07 14:31:15.819,299.55,-44.88,0.0,,910507
GRB 910509,1991-05-09,339.24999999999994,38.26,171.0,1991-05-09 03:03:30.667,339.25,38.26,0.0,,910509
GRB 910511,1991-05-11,266.48,58.3,179.0,1991-05-11 02:11:47.691,266.48,58.3,0.0,,910511
GRB 910517A,1991-05-17,113.57999999999998,49.17,204.0,1991-05-17 10:48:47.211,113.58,49.17,0.0,,910517B
GRB 910518B,1991-05-18,249.02,-11.77,211.0,1991-05-18 14:55:25.803,249.02,-11.77,0.0,,910518B
GRB 910521A,1991-05-21,108.92999999999998,-33.75,214.0,1991-05-21 05:14:37.099,108.93,-33.75,0.0,,910521B
GRB 910522,1991-05-22,137.71999999999997,-50.89,219.0,1991-05-22 12:12:09.707,137.72,-50.89,0.0,,910522
GRB 910523A,1991-05-23,106.98999999999998,0.3611111111111111,222.0,1991-05-23 19:03:24.523,106.99,0.36,0.001,,910523
GRB 910523B,1991-05-23,352.9599999999999,24.89,223.0,1991-05-23 23:38:49.067,352.96,24.89,0.0,,910523B
GRB 910525,1991-05-25,216.03,-62.82,226.0,1991-05-25 19:26:27.947,216.03,-62.82,0.0,,910525
GRB 910528,1991-05-28,240.59,43.97,235.0,1991-05-28 21:26:55.339,240.59,43.97,0.0,,910528
GRB 910529,1991-05-29,205.43,-27.4,237.0,1991-05-29 17:36:00.875,205.43,-27.4,0.0,,910529
GRB 910601,1991-06-01,310.11999999999995,32.34,249.0,1991-06-01 19:22:14.507,310.12,32.34,0.0,,910601
GRB 910602B,1991-06-02,142.76000000000002,53.99,257.0,1991-06-02 22:55:01.035,142.76,53.99,0.0,,910602
GRB 910607A,1991-06-07,78.75999999999999,-9.36,288.0,1991-06-07 00:12:07.659,78.76,-9.36,0.0,,910607B
GRB 910612,1991-06-12,337.06999999999994,15.42,332.0,1991-06-12 08:49:15.883,337.07,15.42,0.0,,910612
GRB 910614A,1991-06-14,174.74999999999997,-12.95,351.0,1991-06-14 01:54:24.491,174.75,-12.95,0.0,,910614B
GRB 910619,1991-06-19,21.17,-36.57,394.0,1991-06-19 14:14:32.811,21.17,-36.57,0.0,,910619
GRB 910620A,1991-06-20,67.91999999999999,22.5,398.0,1991-06-20 05:37:30.411,67.92,22.5,0.0,,910620
GRB 910620B,1991-06-20,65.80999999999999,65.97,401.0,1991-06-20 18:22:48.427,65.81,65.97,0.0,,910620B
GRB 910621A,1991-06-21,326.86999999999995,-8.44,404.0,1991-06-21 01:57:17.547,326.87,-8.44,0.0,,910621B
GRB 910621B,1991-06-21,226.92,-12.44,408.0,1991-06-21 16:16:44.907,226.92,-12.44,0.0,,910621
GRB 910622,1991-06-22,8.458333333333332,-32.8,414.0,1991-06-22 16:34:03.499,8.46,-32.8,0.001,,910622
GRB 910627,1991-06-27,197.99,-2.48,451.0,1991-06-27 04:29:17.739,197.99,-2.48,0.0,,910627
GRB 910629A,1991-06-29,69.23999999999998,-58.42,465.0,1991-06-29 05:15:45.643,69.24,-58.42,0.0,,910629B
GRB 910629B,1991-06-29,63.51999999999999,8.4,467.0,1991-06-29 19:55:48.267,63.52,8.4,0.0,,910629
GRB 910630,1991-06-30,304.69999999999993,35.13,469.0,1991-06-30 07:37:02.315,304.7,35.13,0.0,,910630
GRB 910701,1991-07-01,61.34999999999999,-53.42,472.0,1991-07-01 03:51:39.371,61.35,-53.42,0.0,,910701
GRB 910702A,1991-07-02,255.07,29.05,473.0,1991-07-02 04:46:35.627,255.07,29.05,0.0,,910702B
GRB 910706,1991-07-06,256.63,-43.69,493.0,1991-07-06 05:04:49.003,256.63,-43.69,0.0,,910706
GRB 910708,1991-07-08,12.09,15.12,501.0,1991-07-08 09:41:40.587,12.09,15.12,0.0,,910708
GRB 910709,1991-07-09,172.76999999999998,81.67,503.0,1991-07-09 11:33:22.091,172.77,81.67,0.0,,910709
GRB 910712,1991-07-12,303.63,-57.09,516.0,1991-07-12 08:15:45.707,303.63,-57.09,0.0,,910712
GRB 910714,1991-07-14,242.52,22.19,537.0,1991-07-14 20:46:17.067,242.52,22.19,0.0,,910714
GRB 910717A,1991-07-17,249.83999999999995,-58.21,543.0,1991-07-17 04:33:04.171,249.84,-58.21,0.0,,910717
GRB 910718A,1991-07-18,350.54,59.74,548.0,1991-07-18 02:24:57.195,350.54,59.74,0.0,,910718B
GRB 910718B,1991-07-18,82.79999999999998,22.78,549.0,1991-07-18 06:01:48.395,82.8,22.78,0.0,,910718C
GRB 910719,1991-07-19,245.85,28.46,555.0,1991-07-19 10:53:02.251,245.85,28.46,0.0,,910719
GRB 910721B,1991-07-21,315.52000000000004,-14.29,563.0,1991-07-21 19:30:12.459,315.52,-14.29,0.0,,910721
GRB 910725B,1991-07-25,273.17999999999995,14.13,577.0,1991-07-25 13:12:06.507,273.18,14.13,0.0,,910725B
GRB 910730A,1991-07-30,249.54,-75.22,591.0,1991-07-30 04:18:18.859,249.54,-75.22,0.0,,910730B
GRB 910730C,1991-07-30,313.88,16.93,594.0,1991-07-30 22:27:14.155,313.88,16.93,0.0,,910730
GRB 910802B,1991-08-02,199.57,-53.42,606.0,1991-08-02 15:21:16.651,199.57,-53.42,0.0,,910802B
GRB 910805,1991-08-05,313.27,-51.3,630.0,1991-08-05 10:41:25.611,313.27,-51.3,0.0,,910805
GRB 910807,1991-08-07,153.84999999999997,6.49,647.0,1991-08-07 07:20:32.811,153.85,6.49,0.0,,910807
GRB 910809A,1991-08-09,237.39,38.82,658.0,1991-08-09 00:58:25.771,237.39,38.82,0.0,,910809C
GRB 910809B,1991-08-09,195.43,19.37,659.0,1991-08-09 06:15:00.203,195.43,19.37,0.0,,910809B
GRB 910809C,1991-08-09,281.96,64.74,660.0,1991-08-09 19:35:45.515,281.96,64.74,0.0,,910809
GRB 910813,1991-08-13,39.41,-64.49,673.0,1991-08-13 13:36:24.683,39.41,-64.49,0.0,,910813
GRB 910814A,1991-08-14,58.00999999999999,45.22,676.0,1991-08-14 11:09:40.331,58.01,45.22,0.0,,910814C
