Time,Entropy,Volume,Area
0,1.008764433337857e-33,1.0000000000000001e+18,1000000000000.0
1,1.0087644333378574e-30,999999999999999.8,9999999999.999998
2,1.0087644333378572e-27,999999999999.9999,100000000.0
3,1.008764433337857e-24,999999999.9999999,1000000.0
4,1.0087644333378574e-21,999999.9999999999,10000.0
5,1.0087644333378573e-18,999.9999999999998,99.99999999999999
6,1.008764433337857e-15,1.0,1.0
7,1.0087644333378571e-12,0.001,0.01
8,1.008764433337857e-09,1e-06,0.0001
9,1.0087644333378571e-06,1e-09,1e-06
10,0.001008764433337857,1e-12,1e-08
11,1.0087644333378571,1e-15,1e-10
12,1008.7644333378571,1e-18,1e-12
13,1008764.4333378571,1e-21,1e-14
14,1008764433.3378571,1e-24,1e-16
15,1008764433337.857,1e-27,1e-18
16,1008764433337857.1,1e-30,1e-20
17,1.008764433337857e+18,1e-33,1e-22
18,1.0087644333378571e+21,1e-36,1e-24
19,1.008764433337857e+24,1e-39,1e-26
20,1.0087644333378572e+27,1e-42,1e-28
21,1.008764433337857e+30,1e-45,1e-30
22,1.0087644333378572e+33,1e-48,1e-32
23,1.008764433337857e+36,1e-51,1e-34
24,1.0087644333378571e+39,1e-54,1e-36
25,1.0087644333378571e+42,1e-57,1e-38
26,1.008764433337857e+45,1e-60,1e-40
27,1.0087644333378571e+48,1e-63,1e-42
28,1.0087644333378571e+51,1e-66,1e-44
29,1.0087644333378572e+54,1e-69,1e-46
30,1.008764433337857e+57,1e-72,1e-48
31,1.008764433337857e+60,1e-75,1e-50
32,1.0087644333378571e+63,1e-78,1e-52
33,1.008764433337857e+66,1e-81,1e-54
34,1.0087644333378571e+69,1e-84,1e-56
35,1.008764433337857e+72,1e-87,1e-58
36,1.008764433337857e+75,1e-90,1e-60
37,1.0087644333378572e+78,1e-93,1e-62
38,1.008764433337857e+81,1e-96,1e-64
