trigger,fluence_ch1,err_ch1,fluence_ch2,err_ch2,fluence_ch3,err_ch3,fluence_ch4,err_ch4,peak_flux_64ms,err_flux_64ms,time_flux_64ms,peak_flux_256ms,err_flux_256ms,time_flux_256ms,peak_flux_1024ms,err_flux_1024ms,time_flux_1024ms,fluence_total_erg_cm2,fluence_total_J_m2
143.0,5.7236e-06,3.4374e-08,7.5901e-06,4.308e-08,4.562e-05,1.3972e-07,0.00023324,1.2379e-06,52.008,1.426,1.28,47.569,0.682,1.344,37.634,0.301,2.88,0.00029217370000000003,2.9217370000000004e-05
249.0,6.4429e-06,3.6007e-08,1.2132e-05,3.7487e-08,4.2087e-05,8.5406e-08,8.9605e-05,5.371e-07,35.696,0.814,21.312,34.621,0.403,21.376,31.66,0.19,22.08,0.0001502669,1.5026690000000002e-05
678.0,2.4411e-06,2.5991e-08,3.3157e-06,2.7649e-08,1.7347e-05,7.5388e-08,0.00022764,1.5568e-06,6.738,0.533,1.6,6.176,0.255,1.664,5.825,0.12,2.368,0.0002507438,2.507438e-05
1473.0,3.3044e-06,1.97e-08,1.0378e-05,3.9852e-08,4.2152e-05,1.1435e-07,8.682e-05,1.0433e-06,25.314,0.7,13.056,24.8,0.347,13.12,22.615,0.166,13.568,0.0001426544,1.4265440000000002e-05
1541.0,5.2637e-06,2.4246e-08,1.0673e-05,3.5702e-08,4.2438e-05,1.0498e-07,8.0073e-05,9.0959e-07,38.315,0.89,75.008,35.584,0.432,75.136,31.737,0.205,75.136,0.0001384477,1.3844770000000001e-05
1625.0,2.2555e-06,1.611e-08,5.8483e-06,2.5821e-08,2.7205e-05,8.1007e-08,8.0769e-05,8.4367e-07,28.061,0.744,5.056,27.293,0.367,5.12,22.638,0.168,5.504,0.0001160778,1.160778e-05
1663.0,3.3729e-06,1.7681e-08,7.2944e-06,3.008e-08,3.9589e-05,9.3718e-08,0.00011951,8.3846e-07,20.238,0.644,16.064,19.004,0.312,16.192,16.729,0.147,16.576,0.0001697663,1.697663e-05
2156.0,4.3511e-06,1.9196e-08,1.3887e-05,5.6169e-08,5.9562e-05,1.5604e-07,9.2034e-05,1.5317e-06,18.282,0.615,102.336,16.57,0.295,102.464,12.179,0.13,15.424,0.00016983409999999998,1.6983409999999998e-05
2329.0,4.6347e-06,1.7183e-08,1.1305e-05,3.8602e-08,5.4578e-05,1.2758e-07,0.00031066,1.776e-06,42.573,0.895,12.096,40.395,0.439,12.16,25.255,0.182,8.256,0.0003811777,3.811777e-05
2533.0,4.5802e-06,3.4029e-08,1.0178e-05,4.8803e-08,4.9174e-05,1.4312e-07,0.00013834,1.5538e-06,10.27,0.502,27.52,8.918,0.237,27.648,7.898,0.112,35.392,0.0002022722,2.022722e-05
