,figure,image_file,script_file,matched_equation,Creation DateTime,Extracted Title
0,Figure_46,Figure_46.png,Entropy Correlation Test,Entropy Collapse Coherence Map,2025-03-24 00:04:09,Entropy (normalized)
1,Figure_47,Figure_47.png,Entropy Correlation Test 1.1,Entropy Collapse Coherence Map,2025-03-24 00:09:54,Entropy (normalized)
2,Figure_48,Figure_48.png,Entropy Correlation Test 1.2,Entropy Collapse Coherence Map,2025-03-24 00:15:30,Entropy (normalized)
3,Figure_55,Figure_55.png,Entropy Correlation Test 1.4,Entropy Collapse Coherence Map,2025-03-24 10:48:37,DELAY (Time Delay)
4,Figure_57,Figure_57.png,Entropy Correlation Test 1.4,Entropy Collapse Coherence Map,2025-03-24 11:41:33,DELAY (Time Delay)
5,Figure_43,Figure_43.png,Entropy Evaporation Comparison,2D Surface Entropy Encoding Curve,2025-03-23 20:56:19,Normalized Time
6,Figure_45,Figure_45.png,Entropy Evaporation Comparison 1.2,2D Surface Entropy Encoding Curve,2025-03-23 23:56:56,Normalized Time
7,Figure_42,Figure_42.png,Entropy Horizon Function Test,Entropy Collapse Coherence Map,2025-03-23 19:31:46,Entropy Horizon t as Function of Decay Constant k
8,Figure_52,Figure_52.png,Entropy Hubble Test,Entropy Gradient Transition,2025-03-24 01:35:16,Entropy (normalized)
9,Figure_40,Figure_40.png,Entropy Predictive Model,Entropy Collapse Coherence Map,2025-03-23 19:19:57,Entropy
10,Figure_41,Figure_41.png,Entropy Predictive Model 1.1,Entropy Collapse Coherence Map,2025-03-23 19:22:02,Entropy
11,Figure_36,Figure_36.png,Entropy RData Model,Entropy Gradient Transition,2025-03-23 17:10:40,0.4
12,Figure_37,Figure_37.png,Entropy RData Model Test 1,Entropy Gradient Transition,2025-03-23 18:06:10,Entropy
13,Figure_38,Figure_38.png,Entropy RData Model Test 1.1,Entropy Gradient Transition,2025-03-23 18:46:37,Entropy: Original vs. Saturation Model Fit
14,Figure_53,Figure_53.png,Entropy Saturation Function,Entropy Collapse Coherence Map,2025-03-24 01:52:51,Entropy (normalized)
15,Figure_51,Figure_51.png,Entropy Saturation Horizon,Entropy Gradient Transition,2025-03-24 01:15:05,20000
16,Figure_35,Figure_35.png,Entropy Temp Testing Mod 4.0.py,Entropy Gradient Transition,2025-03-23 16:58:47,0.3
17,Figure_39,Figure_39.png,Saturated Bh Entropy Model,Field Symmetry Discretization Curve,2025-03-23 19:09:18,Entropy (S)
18,Figure_49,Figure_49.png,Saturation Model Vs BH Entropy,Entropy Gradient Transition,2025-03-24 00:33:25,Entropy (normalized)
19,Figure_59,Figure_59.png,Temperature from Entropy 2.0,Entropy Reassembly Function,,
20,Figure_59,Figure_59.png,Unified Abstract Summary,Kelvin Collapse Limit,,
21,Figure_59,Figure_59.png,Figure 59 Caption,UNKNOWN,,
22,Figure_60,Figure_60.png,Temperature from Entropy 2.1,Entropy Reassembly Function,2025-03-24 12:44:42,Temperature (K)
23,Figure_60,Figure_60.png,Temperature from Entropy 3,Entropy Reassembly Function,2025-03-24 12:44:42,Temperature (K)
24,Figure_60,Figure_60.png,Unified Abstract Summary,Kelvin Collapse Limit,2025-03-24 12:44:42,Temperature (K)
25,Figure_60,Figure_60.png,Figure 60 Caption,UNKNOWN,2025-03-24 12:44:42,Temperature (K)
26,Figure_64,Figure_64.png,Chajar Constant,Entropy Collapse Coherence Map,2025-03-25 00:07:09,Residuals Between Entropy-Based Temp and Planck Temp with Reference + Model Lines
27,Figure_61,Figure_61.png,Entropy Collapse Test 1.5,Entropy Collapse Coherence Map,2025-03-24 23:54:41,(T-T_planck) / T_planck
28,Figure_62,Figure_62.png,Entropy Collapse Test 1.6,Entropy Collapse Coherence Map,2025-03-24 23:59:20,Residuals Between Entropy-Based Temp and Planck Temp with Reference Points
29,Figure_63,Figure_63.png,Entropy Collapse Test 1.7,Entropy Collapse Coherence Map,2025-03-25 00:02:32,Residuals Between Entropy-Based Temp and Planck Temp with Reference + Model Lines
30,Figure_65,Figure_65.png,Entropy Collapse Test 2.2,Entropy Collapse Coherence Map,2025-03-25 00:31:30,log10(Entropy Density) [)/k/m*x]
31,Figure_58,Figure_58.png,Temperature from Entropy 1.1,UNKNOWN,2025-03-24 12:33:32,Entropy-derived Temperature (K)
