Name,Type,Distance_Mpc,Apparent_Mag,fluence_j_m2,Bruno_Trigger
SN2020aagy,II,,16.9,,False
SN2020aajp,unknown,,19.7,,False
SN2020abab,Iazhost=0.088376),,19.6,,False
SN2020aboq,Ic BL,,18.0,,False
SN2020abqq,Ia,,18.25,,False
SN2020abqx,Ib,,19.2,,False
SN2020aere,II,,18.4,,False
SN2020joj,unknown,,16.3,,False
SN2020pnn,II,,18.0,,False
SN2020qpo,IIn,,19.9,,False
SN2020rqk,Ia,,17.06,,False
SN2020tkx,Ic BL,,18.41,,False
SN2020ut,Ia,,18.16,,False
SN2020uts,unknown,,19.8,,False
SN2020vdk,unknown,,19.4,,False
SN2020zfj,Ia,,19.2,,False
SN2020zlz,Ia,,15.86,,False
SN2020zwy,Ic,,19.2,,False
SN2021aabm,unknown,,19.4,,False
SN2021aban,unknown,,18.5,,False
SN2021acnw,Ia,,18.18,,False
SN2021acny,Ia-02cx,,18.7,,False
SN2021adtd,Ia,,18.31,,False
SN2021adva,Ia,,18.52,,False
SN2021adxl,IIn,,14.34,,False
SN2021adyo,II,,20.5,,False
SN2021bwb,Ia,,19.7,,False
SN2021bxg,unknown,,19.5,,False
SN2021dsz,Ia,,17.95,,False
SN2021fog,unknown,,18.04,,False
SN2021khm,Ia,,18.39,,False
SN2021ok,II,,19.0,,False
SN2021rke,II,,18.64,,False
SN2021tf,Ibn,,18.27,,False
SN2021ucg,II,,17.0,,False
SN2021ukr,Ic BL,,18.3,,False
SN2021uqu,unknown,,19.8,,False
SN2021vyj,unknown,,17.68,,False
SN2022eym,Ia,,18.9,,False
SN2022fae,unknown,,18.9,,False
SN2022fjy,Ia,,18.8,,False
