trigger,name,burst_id,tjd,time_sec,ra_deg,dec_deg,gal_lon,gal_lat,error_radius,geocenter_angle,overwrite_flag,overwritten_flag,jd,datetime
105,4B,910421,8367,33243.756,270.68,24.76,50.75,21.19,0.53,123.48,N,N,2448367.5,1991-04-21 09:14:03.756
107,4B,910423,8369,71684.716,193.47,-8.38,303.97,54.49,11.1,143.48,N,N,2448369.5,1991-04-23 19:54:44.716
108,4B,910424,8370,71006.572,201.31,-45.41,309.13,17.06,13.78,90.87,N,N,2448370.5,1991-04-24 19:43:26.572
109,4B,910425,8371,2265.707,91.29,-22.77,228.99,-19.94,1.02,88.58,N,N,2448371.5,1991-04-25 00:37:45.707
110,4B,910425B,8371,20253.291,335.94,25.77,85.83,-26.27,4.79,81.93,N,N,2448371.5,1991-04-25 05:37:33.291
111,4B,910426,8372,80046.699,75.82,-19.51,219.84,-32.25,2.67,161.92,N,N,2448372.5,1991-04-26 22:14:06.699
114,4B,910427,8373,32720.747,78.86,-15.59,216.87,-28.11,9.07,170.33,N,N,2448373.5,1991-04-27 09:05:20.747
121,4B,910429,8375,11509.803,174.75,14.33,246.48,68.82,1.36,85.46,Y,Y,2448375.5,1991-04-29 03:11:49.803
130,4B,910430,8376,61719.147,135.8,2.73,226.69,30.33,0.5,105.21,N,N,2448376.5,1991-04-30 17:08:39.147
133,4B,910501,8377,30014.059,126.54,-0.23,224.46,20.83,2.19,153.99,N,N,2448377.5,1991-05-01 08:20:14.059
138,4B,910502B,8378,40667.371,114.48,-25.31,240.56,-1.88,13.33,68.47,N,N,2448378.5,1991-05-02 11:17:47.371
142,4B,910502,8378,81443.371,46.22,-52.71,268.02,-54.4,0.62,116.31,Y,N,2448378.5,1991-05-02 22:37:23.371
143,4B,910503,8379,25452.651,87.45,38.74,172.03,5.79,0.87,153.85,N,N,2448379.5,1991-05-03 07:04:12.651
148,4B,910505,8381,72916.075,177.68,44.44,154.12,68.83,3.07,125.88,N,Y,2448381.5,1991-05-05 20:15:16.075
160,4B,910507,8383,52275.819,299.55,-44.88,354.67,-30.19,0.68,138.27,N,N,2448383.5,1991-05-07 14:31:15.819
171,4B,910509,8385,11010.667,339.25,38.26,95.83,-17.44,2.44,113.27,N,N,2448385.5,1991-05-09 03:03:30.667
179,4B,910511,8387,7907.691,266.48,58.3,86.76,31.32,1.66,87.32,N,N,2448387.5,1991-05-11 02:11:47.691
185,4B,910512,8388,54909.419,90.86,71.58,142.4,21.97,6.05,136.15,N,Y,2448388.5,1991-05-12 15:15:09.419
204,4B,910517B,8393,38927.211,113.58,49.17,169.05,26.96,3.64,118.65,N,N,2448393.5,1991-05-17 10:48:47.211
206,4B,910517,8393,86135.147,356.91,25.28,105.19,-35.38,4.73,113.07,N,N,2448393.5,1991-05-17 23:55:35.147
207,4B,910518,8394,12331.435,285.85,80.82,112.7,26.28,5.36,116.59,N,Y,2448394.5,1991-05-18 03:25:31.435
211,4B,910518B,8394,53725.803,249.02,-11.77,5.06,23.09,3.22,91.8,N,N,2448394.5,1991-05-18 14:55:25.803
214,4B,910521B,8397,18877.099,108.93,-33.75,245.81,-10.08,6.22,133.21,N,N,2448397.5,1991-05-21 05:14:37.099
