name,RA_deg,Dec_deg,redshift,datetime,maxabsmag,distance_mpc,type
AT1990am,93.32145833333333,47.76602777777778,,1990/01/28,,,Candidate
AT1991bm,273.8100166666666,47.53098611111111,0.040188,1991/08/06,-22.3154,183.269,Candidate
AT1991bn,72.26004166666665,5.866,0.0676,1991/10/13,-17.99,314.3,Candidate
AT1992bv,48.7728,-54.82122222222223,0.0275,1992/11/19,-18.67,124.3,Candidate
AT1992bw,1.5106375,14.41408888888889,0.017773,1992/08/08,-16.9079,79.7238,Candidate
AT1992bx,332.4439583333333,18.50236111111111,0.02484,1992/09/30,-16.646,112.01,Candidate
AT1993am,98.94129166666666,50.59961111111112,,1993/12/10,,,Candidate
AT1994ap,325.25833333333327,-82.80002777777777,0.00997,1994/07/04,-14.54,44.46,Candidate
AT1994aq,241.326875,16.0975,,1994/06/08,,,Candidate
AT1994ar,167.85029166666666,26.24077777777778,0.004,1994/01/16,-17.0,18.0,Candidate
AT1994as,192.947125,-41.12919444444445,0.0111,1994/04/05,-18.67,49.54,Candidate
AT1995bg,189.96291666666664,13.86963888888889,0.075,1995/03/26,-19.2,351.0,Candidate
AT1996cs,178.68337499999998,26.007,0.0099,1996/02/14,-18.4,44.1,Candidate
AT1996ct,180.72941666666665,38.03736111111111,,1996/03/18,,,Candidate
AT1999gy,244.991875,-1.1747472222222224,,1999/03/21,,,Candidate
AT1999gz,179.38309999999998,0.816625,0.06227,1999/03/20,-16.901,288.47,Candidate
AT1999ha,209.1015583333333,-0.2485555555555555,0.02975,1999/03/21,-15.446,134.64,Candidate
AT1999hb,177.83925416666665,-0.9718027777777778,0.083,1999/03/22,-17.3,390.0,Candidate
GRB 910421,270.68,24.76,,1991/04/21,,,LGRB
GRB 910423,193.47,-8.38,,1991/04/23,,,LGRB
GRB 910424,201.31,-45.41,,1991/04/24,,,LGRB
GRB 910425A,91.28999999999998,-22.77,,1991/04/25,,,LGRB
GRB 910425B,335.94,25.77,,1991/04/25,,,LGRB
GRB 910426,75.82,-19.51,,1991/04/26,,,LGRB
GRB 910427,78.85999999999999,-15.59,,1991/04/27,,,LGRB
GRB 910430,135.8,2.73,,1991/04/30,,,LGRB
GRB 910501,126.53999999999998,-0.23,,1991/05/01,,,LGRB
GRB 910503,87.44999999999999,38.74,,1991/05/03,,,LGRB
GRB 910507,299.54999999999995,-44.88,,1991/05/07,,,LGRB
GRB 910509,339.24999999999994,38.26,,1991/05/09,,,LGRB
GRB 910511,266.48,58.3,,1991/05/11,,,LGRB
GRB 910517A,113.57999999999998,49.17,,1991/05/17,,,LGRB
GRB 910518B,249.02,-11.77,,1991/05/18,,,LGRB
GRB 910521A,108.92999999999998,-33.75,,1991/05/21,,,LGRB
GRB 910522,137.71999999999997,-50.89,,1991/05/22,,,LGRB
GRB 910523A,106.98999999999998,0.3611111111111111,,1991/05/23,,,LGRB
GRB 910523B,352.9599999999999,24.89,,1991/05/23,,,LGRB
GRB 910525,216.03,-62.82,,1991/05/25,,,LGRB
GRB 910528,240.59,43.97,,1991/05/28,,,LGRB
GRB 910529,205.43,-27.4,,1991/05/29,,,LGRB
GRB 910601,310.11999999999995,32.34,,1991/06/01,,,LGRB
GRB 910602B,142.76000000000002,53.99,,1991/06/02,,,LGRB
GRB 910607A,78.75999999999999,-9.36,,1991/06/07,,,LGRB
GRB 910612,337.06999999999994,15.42,,1991/06/12,,,LGRB
GRB 910614A,174.74999999999997,-12.95,,1991/06/14,,,LGRB
GRB 910619,21.17,-36.57,,1991/06/19,,,LGRB
GRB 910620A,67.91999999999999,22.5,,1991/06/20,,,LGRB
GRB 910620B,65.80999999999999,65.97,,1991/06/20,,,LGRB
GRB 910621A,326.86999999999995,-8.44,,1991/06/21,,,LGRB
GRB 910621B,226.92,-12.44,,1991/06/21,,,LGRB
GRB 910622,8.458333333333332,-32.8,,1991/06/22,,,LGRB
GRB 910627,197.99,-2.48,,1991/06/27,,,LGRB
GRB 910629A,69.23999999999998,-58.42,,1991/06/29,,,LGRB
GRB 910629B,63.51999999999999,8.4,,1991/06/29,,,LGRB
