name,ra_deg,dec_deg,redshift,lumdist_mpc,type,discover_date,fluence_j_m2,Bruno_Trigger
AT1990am,93.32145833333333,47.76602777777778,,,Candidate,1990/01/28,,False
AT1991bm,273.8100166666666,47.53098611111111,0.040188,183.269,Candidate,1991/08/06,2.4878275464283937e-07,False
AT1991bn,72.26004166666665,5.866,0.0676,314.3,Candidate,1991/10/13,8.458815072820198e-08,False
AT1992bv,48.7728,-54.82122222222223,0.0275,124.3,Candidate,1992/11/19,5.408240987650595e-07,False
AT1992bw,1.5106375,14.41408888888889,0.017773,79.7238,Candidate,1992/08/08,1.314686824547092e-06,False
AT1992bx,332.4439583333333,18.50236111111111,0.02484,112.01,Candidate,1992/09/30,6.660160544614924e-07,False
AT1993am,98.94129166666666,50.59961111111112,,,Candidate,1993/12/10,,False
AT1994ap,325.25833333333327,-82.80002777777777,0.00997,44.46,Candidate,1994/07/04,4.227264045503386e-06,False
AT1994aq,241.32687499999997,16.0975,,,Candidate,1994/06/08,,False
AT1994ar,167.85029166666666,26.24077777777778,0.004,18.0,Candidate,1994/01/16,2.5790115215211614e-05,True
AT1994as,192.947125,-41.12919444444445,0.0111,49.54,Candidate,1994/04/05,3.4047583059784093e-06,False
AT1995bg,189.96291666666664,13.86963888888889,0.075,351.0,Candidate,1995/03/26,6.782410313007655e-08,False
AT1996cs,178.68337499999998,26.007,0.0099,44.1,Candidate,1996/02/14,4.296562301576278e-06,False
AT1996ct,180.72941666666665,38.03736111111111,,,Candidate,1996/03/18,,False
AT1999gy,244.99187499999996,-1.1747472222222224,,,Candidate,1999/03/21,,False
AT1999gz,179.38309999999998,0.816625,0.06227,288.47,Candidate,1999/03/20,1.0041462794247519e-07,False
AT1999ha,209.1015583333333,-0.2485555555555555,0.02975,134.64,Candidate,1999/03/21,4.6094603819117685e-07,False
AT1999hb,177.83925416666665,-0.9718027777777778,0.083,390.0,Candidate,1999/03/22,5.493752353536202e-08,False
GRB 910421,270.68,24.76,,,LGRB,1991/04/21,,False
GRB 910423,193.47,-8.38,,,LGRB,1991/04/23,,False
GRB 910424,201.31,-45.41,,,LGRB,1991/04/24,,False
GRB 910425A,91.28999999999998,-22.77,,,LGRB,1991/04/25,,False
GRB 910425B,335.94,25.77,,,LGRB,1991/04/25,,False
GRB 910426,75.82,-19.51,,,LGRB,1991/04/26,,False
GRB 910427,78.85999999999999,-15.59,,,LGRB,1991/04/27,,False
GRB 910430,135.8,2.73,,,LGRB,1991/04/30,,False
GRB 910501,126.53999999999998,-0.23,,,LGRB,1991/05/01,,False
GRB 910503,87.44999999999999,38.74,,,LGRB,1991/05/03,,False
GRB 910507,299.54999999999995,-44.88,,,LGRB,1991/05/07,,False
GRB 910509,339.24999999999994,38.26,,,LGRB,1991/05/09,,False
GRB 910511,266.48,58.3,,,LGRB,1991/05/11,,False
GRB 910517A,113.57999999999998,49.17,,,LGRB,1991/05/17,,False
