NIMG ZLENS SIGMA ZSRC MAGH APMAG_H IMSEP EPSILON PHI KAPPA THETA XSRC YSRC TYP LENSID DELAY MAG XIMG YIMG
2 0.102 259.4179 0.2485714 23.1 24.55468 2.379928 0.3838495 102.518 0.05166786 -120.919 -0.2722044 -0.9033164 4 15307 0.0,49.12729 -0.5732111858759815,1.4546828113417085 -0.4973156,0.08959721 -2.128986,0.1774372
2 0.139 133.9677 0.2586 22.62 23.39424 0.4958306 0.3158958 -46.96582 0.02385187 -42.24586 0.139178 -0.116775 1 17867 0.0,3.392688 -0.6109093090041512,0.7742410580856205 0.3247465,-0.04921122 -0.2882825,0.03729939
2 0.166 177.0109 0.2586 21.97 22.31429 0.6219342 0.1203228 -44.03436 0.0340744 -153.6715 -0.1612555 0.09744416 2 17991 6.800911,0.0 0.34428833061355,-0.9846633446976676 0.1074342,-0.4377762 -0.06345868,0.2357866
4 0.109 257.0396 0.2763443 23.77 21.53316 2.057281 0.156644 -7.137455 0.0355802 -5.38932 0.002956532 -0.150929 3 22689 0.0,7.772923,0.7667087,0.7739243 -2.236844913332039,-1.0017800441889722,-3.9056479761389182,-3.991145797794757 0.8765072,0.05108954,-0.7679059,-0.5362869 -0.8822178,0.9026374,-0.9273315,-1.06901
2 0.127 171.0015 0.2788996 25.18 25.56272 0.8210068 0.2359283 -79.95889 0.06697861 127.6063 -0.1922047 -0.02935574 3 23513 4.755789,0.0 0.3827150149162394,-1.6376534238212768 0.2141644,-0.6018949 0.04344027,0.1334371
2 0.078 179.0606 0.3284329 24.52 25.64264 1.493056 0.4364738 114.696 0.0215169 -59.58571 0.1448532 -0.5780896 3 41114 0.0,11.43136 -0.5133513336227892,1.1226398923027903 0.4146584,-0.01896286 -1.292149,0.136553
2 0.145 211.3489 0.3417839 24.59 24.94818 1.427826 0.2061523 29.29449 0.02273376 -50.98637 -0.2829694 -0.3404035 3 47176 0.0,20.02552 -0.9298112935617386,0.3581759619671906 -0.7793532,0.1605062 -0.8445012,0.230372
2 0.328 202.3019 0.3552691 24.58 24.06757 0.1815261 0.2279824 70.23356 0.07083302 55.21138 -0.01278937 -0.04307528 3 53981 0.0,4.416679 -0.7371604594819745,-0.5124313348881705 -0.0512486,0.008338679 -0.1294608,0.04200667
2 0.14 276.6942 0.3771278 24.72 23.59332 2.601026 0.1438698 -120.0267 0.08421007 149.3819 -0.2735766 -0.1542289 5 63288 0.0,23.00832 -1.87915217218886,-1.1266756552463062 -1.560543,0.8431465 -0.4727952,0.5209908
2 0.182 255.8586 0.3826473 23.84 23.11862 1.983773 0.4283054 62.72127 0.05200453 -162.775 0.3396116 0.2894178 2 66372 40.14984,0.0 -0.7218383856753403,-0.7213814725342526 -0.5136844,1.062391 -0.1747095,1.030007
2 0.175 242.661 0.3854154 23.72 23.82725 1.812206 0.09188911 93.7526 0.04832634 91.01613 0.2773504 -0.3946951 2 67781 0.0,35.53756 -0.9614385841816679,0.10725308909936321 0.6285897,-0.2667747 -1.264511,0.3110563
2 0.211 194.536 0.388189 24.66 24.69287 0.8946258 0.06626348 -96.80275 0.05710845 90.66886 0.1921252 0.07407455 3 69420 10.83936,0.0 0.032871332511592216,-1.4652730129130533 -0.2377051,0.5446707 -0.07159399,0.3622764
2 0.344 130.9182 0.3965431 24.56 25.16769 0.1138551 0.5342753 91.00602 0.03609377 0.6898642 0.02124093 -0.02904903 2 74170 0.0,1.438236 -0.6890487840769912,0.6076914036426561 0.04085455,-0.01824503 -0.08580242,0.01151264
4 0.186 195.8845 0.3965431 24.95 23.72527 1.14506 0.4235413 32.45589 0.04240278 -174.5226 0.05252098 -0.0710244 3 73407 1.62947,0.7603518,0.0,5.332332 -1.2435346978876358,-1.4391941286472671,-1.2247342044743976,-0.11550603605020514 0.2323391,-0.3619241,0.6475484,-0.2058858 -0.5152466,-0.4869761,0.05351288,0.3395208
2 0.231 327.3407 0.4021405 24.95 25.52319 2.479219 0.2913629 166.8382 0.0792582 45.85906 -0.2915067 -0.6050573 3 76601 0.0,115.9551 -1.0833835386897968,0.5731929794528454 -1.232745,0.1750069 -1.559862,0.4809119
2 0.151 239.8833 0.4162322 23.14 23.9744 2.170637 0.1778391 -82.62153 0.05694645 -77.38063 0.1282456 0.7485043 5 83600 0.0,49.19295 -0.6884189181791701,0.8344042163633838 0.118448,-0.06931507 1.883288,-0.2792134
2 0.28 167.8804 0.4190675 24.08 24.79699 0.5001918 0.008509296 -147.7516 0.01888225 -74.76549 0.0682027 0.1501851 2 85937 0.0,8.768623 -0.9812635866103553,0.7169925241675329 0.1559848,-0.03531422 0.3855417,-0.07662329
2 0.121 199.0673 0.4247552 22.73 23.03964 1.625118 0.01496395 -131.9924 0.02881768 175.8309 0.464654 -0.05864573 2 88046 0.0,16.14149 -0.9808659678773437,0.30963964279595335 1.286807,-0.3273189 -0.1439033,0.04479493
2 0.261 220.8005 0.4276075 23.98 24.03754 1.016558 0.1558495 176.5489 0.04228824 -91.58446 -0.1861198 0.1863764 1 90673 22.58964,0.0 0.05753739313437939,-1.1456036013512103 0.1609373,-0.5361962 -0.1852352,0.5546266
2 0.279 203.2357 0.4276075 24.12 24.46937 0.772486 0.04814431 -110.7696 0.0405778 -76.09416 -0.116636 -0.1947345 2 90786 0.0,17.7748 -0.9974877597065108,0.3493706546653682 -0.2561025,0.08624205 -0.560626,0.1318586
