Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Mass
14425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15Msun
14425.0,0.1,3.19536238e+45,2.0619486799999998e+45,1.0882514800000001e+40,1.1091155100000001e+40,3.1953136499999996e+45,2.06189461e+45,4.87316642e+40,5.407787920000001e+40,15Msun
14425.0,0.2,1.23588509e+46,5.3561016e+45,1.71732173e+44,2.0440093100000003e+44,1.18974857e+46,4.05762997e+45,4.61365163e+44,1.2984716299999999e+45,15Msun
14425.0,0.3,3.26031026e+46,3.62658067e+46,4.2340147099999996e+45,5.08270963e+45,2.16812495e+46,3.59693603e+45,1.09218531e+46,3.26688707e+46,15Msun
14425.0,0.4,8.86910439e+46,1.4540985e+47,1.9934642399999998e+46,2.3057187499999997e+46,2.81229552e+46,4.82945442e+45,6.05680887e+46,1.40580396e+47,15Msun
14425.0,0.5,1.8991655e+47,2.94038212e+47,4.53940275e+46,5.03608472e+46,2.95445407e+46,6.39607483e+45,1.6037201e+47,2.8764213699999997e+47,15Msun
14425.0,0.6,3.0492840699999997e+47,4.07610275e+47,7.00878207e+46,7.48130213e+46,2.64896519e+46,8.09266127e+45,2.78438755e+47,3.99517614e+47,15Msun
14425.0,0.7,3.9790744e+47,4.5141097799999995e+47,8.57246265e+46,8.84007357e+46,2.48483975e+46,9.77911774e+45,3.73059042e+47,4.416318599999999e+47,15Msun
14425.0,0.8,4.42905631e+47,4.34149497e+47,8.99762887e+46,9.0098313e+46,2.32060181e+46,1.13231366e+46,4.19699613e+47,4.2282636e+47,15Msun
14425.0,0.9,4.36995151e+47,3.79463049e+47,8.44717363e+46,8.25990248e+46,2.21598523e+46,1.26142338e+46,4.14835298e+47,3.6684881499999995e+47,15Msun
14425.0,1.0,3.92843279e+47,3.1126937099999998e+47,7.2890199e+46,7.00282956e+46,2.18357452e+46,1.35954659e+46,3.71007534e+47,2.97673905e+47,15Msun
14425.0,1.2,2.59463633e+47,1.8435041999999997e+47,4.47405476e+46,4.21368086e+46,2.2865258e+46,1.44704316e+46,2.3659837499999997e+47,1.6987998899999999e+47,15Msun
14425.0,1.3,1.9750462699999998e+47,1.35754389e+47,3.25715115e+46,3.05405538e+46,2.38408016e+46,1.41319645e+46,1.73663825e+47,1.21622424e+47,15Msun
14425.0,1.4,1.47169125e+47,9.86498616e+46,2.28578704e+46,2.13976729e+46,2.49304794e+46,1.38274107e+46,1.22238646e+47,8.48224509e+46,15Msun
14425.0,1.5,1.09231774e+47,7.15529686e+46,1.5551269799999998e+46,1.45547261e+46,2.6034648e+46,1.38913445e+46,8.31971261e+46,5.76616241e+46,15Msun
14425.0,1.6,8.22784757e+46,5.21694277e+46,1.03211678e+46,9.66890925e+45,2.71573241e+46,1.3761792099999999e+46,5.51211516e+46,3.84076357e+46,15Msun
14425.0,1.7,6.37558444e+46,3.84662617e+46,6.706393669999999e+45,6.29095801e+45,2.80275197e+46,1.33830881e+46,3.57283247e+46,2.50831736e+46,15Msun
14425.0,1.8,5.14958611e+46,2.88520556e+46,4.27522669e+45,4.0182456e+45,2.88018245e+46,1.27429198e+46,2.2694036599999999e+46,1.61091358e+46,15Msun
14425.0,1.9,4.3572488799999997e+46,2.21140389e+46,2.68450554e+45,2.52823534e+45,2.93757661e+46,1.19215943e+46,1.41967227e+46,1.01924445e+46,15Msun
14425.0,2.0,3.84563557e+46,1.72935935e+46,1.65916077e+45,1.56648814e+45,2.97230113e+46,1.0934898599999999e+46,8.73334441e+45,6.35869494e+45,15Msun
14425.0,2.1,3.51079362e+46,1.36954533e+46,1.0085801199999999e+45,9.54724047e+44,2.98250154e+46,9.792543809999999e+45,5.28292085e+45,3.90290953e+45,15Msun
14425.0,2.4,2.95718173e+46,6.50049979e+45,2.00586196e+44,1.92014509e+44,2.85435542e+46,5.69187818e+45,1.02826312e+45,8.086216170000001e+44,15Msun
14425.0,2.5,2.81054437e+46,4.6151188199999996e+45,1.09910082e+44,1.05876038e+44,2.75489536e+46,4.16199733e+45,5.56490122e+44,4.5312149000000005e+44,15Msun
14425.0,2.6,2.65315174e+46,2.8261246599999997e+45,5.86271846e+43,5.69482146e+43,2.62396315e+46,2.5772608599999998e+45,2.9188583900000003e+44,2.48863804e+44,15Msun
14425.0,2.7,2.47434224e+46,8.23267393e+44,3.07108858e+43,3.0066740999999997e+43,2.45929876e+46,6.8933821100000005e+44,1.5043478800000001e+44,1.33929183e+44,15Msun
14425.0,2.8,2.26835286e+46,1.44677154e+44,1.5878451e+43,1.56480618e+43,2.26068243e+46,7.38764034e+43,7.670425679999999e+43,7.0800751e+43,15Msun
14425.0,2.9,2.0393017e+46,1.0037423300000001e+44,8.11338179e+42,8.038496949999999e+42,2.03542722e+46,6.3548272e+43,3.87448153e+43,3.68259609e+43,15Msun
14425.0,3.0,1.8063203199999999e+46,7.269847129999999e+43,4.11633377e+42,4.09254251e+42,1.8043694699999999e+46,5.379960139999999e+43,1.9508497699999998e+43,1.88988699e+43,15Msun
14425.0,3.1,1.59738528e+46,5.4239653e+43,2.06536715e+42,2.05792808e+42,1.59641115e+46,4.46890068e+43,9.74126541e+42,9.55064621e+42,15Msun
14425.0,3.2,1.4285669099999999e+46,4.21014841e+43,1.02247868e+42,1.0201719499999999e+42,1.4280861e+46,3.73525012e+43,4.8080906e+42,4.74898289e+42,15Msun
14425.0,3.3,1.28913872e+46,3.77323644e+43,4.99250089e+41,4.98638532e+41,1.28890449e+46,3.5405758599999997e+43,2.3422763399999997e+42,2.32660576e+42,15Msun
14425.0,3.4,1.17731557e+46,3.46192142e+43,2.4090404299999997e+41,2.40782529e+41,1.17720273e+46,3.34939229e+43,1.1284049799999999e+42,1.12529124e+42,15Msun
14425.0,3.5,1.062255e+46,3.2681139699999997e+43,1.14707018e+41,1.14700651e+41,1.06220133e+46,3.21445495e+43,5.36753382e+41,5.365901939999999e+41,15Msun
14425.0,3.6,9.34756293e+45,3.15530191e+43,5.32650789e+40,5.32433777e+40,9.34731349e+45,3.13041334e+43,2.4944184099999997e+41,2.4888574e+41,15Msun
14425.0,3.7,7.93272671e+45,3.04443009e+43,2.43681504e+40,2.4372523100000004e+40,7.932612739999999e+45,3.03302219e+43,1.13966952e+41,1.1407899599999999e+41,15Msun
14425.0,3.8,6.375994339999999e+45,2.81019174e+43,1.073663e+40,1.0736361500000001e+40,6.3759441e+45,2.80516873e+43,5.02369348e+40,5.02300556e+40,15Msun
14425.0,3.9,4.7248725e+45,2.54555755e+43,4.5690799e+39,4.57061073e+39,4.72485114e+45,2.54341747e+43,2.1361600200000002e+40,2.14008251e+40,15Msun
14425.0,4.0,3.11751975e+45,2.27771302e+43,1.8613965499999998e+39,1.86153071e+39,3.11751104e+45,2.27684191e+43,8.70762376e+39,8.71106206e+39,15Msun
14425.0,4.2,8.21999302e+44,1.7579314799999998e+43,2.47354341e+38,2.47318657e+38,8.21998145e+44,1.75781581e+43,1.15768548e+39,1.15677109e+39,15Msun
14425.0,4.3,4.21959683e+44,1.50815613e+43,7.86463255e+37,7.862656849999999e+37,4.21959315e+44,1.50811936e+43,3.68174228e+38,3.67668006e+38,15Msun
14425.0,4.5,1.06384813e+46,1.02965143e+43,4.64429904e+36,4.64359638e+36,1.06384813e+46,1.02964926e+43,2.17369238e+37,2.17189162e+37,15Msun
14425.0,4.7,1.21666038e+46,5.84467535e+42,4.63336556e+34,4.63378196e+34,1.21666038e+46,5.84467514e+42,2.16740482e+35,2.16847167e+35,15Msun
14425.0,4.8,1.0022865599999999e+46,3.7094702e+42,5.23391365e+32,5.23464275e+32,1.0022865599999999e+46,3.7094702e+42,2.4480593100000003e+33,2.4499275900000003e+33,15Msun
14425.0,5.0,5.02992599e+45,1.67676197e+40,0.0,0.0,5.02992599e+45,1.67676197e+40,0.0,0.0,15Msun
14425.0,5.2,2.0529205999999998e+45,5.00921346e+39,0.0,0.0,2.0529205999999998e+45,5.00921346e+39,0.0,0.0,15Msun
14425.0,5.3,1.26352841e+45,2.27900107e+39,0.0,0.0,1.26352841e+45,2.27900107e+39,0.0,0.0,15Msun
14425.0,5.4,1.41698495e+45,1.3329281299999999e+39,0.0,0.0,1.41698495e+45,1.3329281299999999e+39,0.0,0.0,15Msun
14425.0,5.5,6.3949369e+45,7.78800005e+38,0.0,0.0,6.3949369e+45,7.78800005e+38,0.0,0.0,15Msun
14425.0,5.6,9.12775992e+45,4.54113951e+38,0.0,0.0,9.12775992e+45,4.54113951e+38,0.0,0.0,15Msun
14425.0,5.7,1.0347390799999999e+46,2.65601028e+38,0.0,0.0,1.0347390799999999e+46,2.65601028e+38,0.0,0.0,15Msun
14425.0,5.8,9.856771739999999e+45,1.55039633e+38,0.0,0.0,9.856771739999999e+45,1.55039633e+38,0.0,0.0,15Msun
14425.0,5.9,8.159389809999999e+45,8.92647725e+37,0.0,0.0,8.159389809999999e+45,8.92647725e+37,0.0,0.0,15Msun
14425.0,6.0,6.08312037e+45,3.03314465e+38,0.0,0.0,6.08312037e+45,3.03314465e+38,0.0,0.0,15Msun
14425.0,6.1,4.22012376e+45,2.9783236000000002e+38,0.0,0.0,4.22012376e+45,2.9783236000000002e+38,0.0,0.0,15Msun
14425.0,6.2,2.7917726499999997e+45,2.3495789e+38,0.0,0.0,2.7917726499999997e+45,2.3495789e+38,0.0,0.0,15Msun
14425.0,6.3,1.78975361e+45,1.7031497900000002e+38,0.0,0.0,1.78975361e+45,1.7031497900000002e+38,0.0,0.0,15Msun
14425.0,6.4,1.12303235e+45,1.1743823500000001e+38,0.0,0.0,1.12303235e+45,1.1743823500000001e+38,0.0,0.0,15Msun
14425.0,6.5,6.9391106400000005e+44,7.824677039999999e+37,0.0,0.0,6.9391106400000005e+44,7.824677039999999e+37,0.0,0.0,15Msun
14425.0,6.6,4.2378381600000006e+44,5.08429893e+37,0.0,0.0,4.2378381600000006e+44,5.08429893e+37,0.0,0.0,15Msun
14425.0,6.7,2.56415633e+44,3.2400809399999997e+37,0.0,0.0,2.56415633e+44,3.2400809399999997e+37,0.0,0.0,15Msun
14425.0,6.8,1.53955002e+44,2.0328089899999998e+37,0.0,0.0,1.53955002e+44,2.0328089899999998e+37,0.0,0.0,15Msun
14425.0,6.9,9.18288348e+43,1.2590368899999998e+37,0.0,0.0,9.18288348e+43,1.2590368899999998e+37,0.0,0.0,15Msun
14425.0,7.0,5.44580582e+43,7.71375704e+36,0.0,0.0,5.44580582e+43,7.71375704e+36,0.0,0.0,15Msun
14425.0,7.1,3.21310131e+43,4.68231113e+36,0.0,0.0,3.21310131e+43,4.68231113e+36,0.0,0.0,15Msun
14425.0,7.2,1.8870908199999998e+43,2.81941627e+36,0.0,0.0,1.8870908199999998e+43,2.81941627e+36,0.0,0.0,15Msun
14425.0,7.3,1.10371137e+43,1.6857609e+36,0.0,0.0,1.10371137e+43,1.6857609e+36,0.0,0.0,15Msun
14425.0,7.4,6.430903859999999e+42,1.00167182e+36,0.0,0.0,6.430903859999999e+42,1.00167182e+36,0.0,0.0,15Msun
14425.0,7.5,3.73404469e+42,5.91891903e+35,0.0,0.0,3.73404469e+42,5.91891903e+35,0.0,0.0,15Msun
14425.0,7.6,2.16121261e+42,3.48012307e+35,0.0,0.0,2.16121261e+42,3.48012307e+35,0.0,0.0,15Msun
14425.0,7.7,1.24718538e+42,2.03700739e+35,0.0,0.0,1.24718538e+42,2.03700739e+35,0.0,0.0,15Msun
14425.0,7.8,7.177498069999999e+41,1.18745429e+35,0.0,0.0,7.177498069999999e+41,1.18745429e+35,0.0,0.0,15Msun
14425.0,7.9,4.12008903e+41,6.89641693e+34,0.0,0.0,4.12008903e+41,6.89641693e+34,0.0,0.0,15Msun
14425.0,8.0,2.35942297e+41,3.99161162e+34,0.0,0.0,2.35942297e+41,3.99161162e+34,0.0,0.0,15Msun
14425.0,8.1,1.3481477199999999e+41,2.30308653e+34,0.0,0.0,1.3481477199999999e+41,2.30308653e+34,0.0,0.0,15Msun
14425.0,8.4,2.4848694500000003e+40,4.3512206400000005e+33,0.0,0.0,2.4848694500000003e+40,4.3512206400000005e+33,0.0,0.0,15Msun
14425.0,8.5,1.4090158600000001e+40,2.48462398e+33,0.0,0.0,1.4090158600000001e+40,2.48462398e+33,0.0,0.0,15Msun
14425.0,8.6,7.97650451e+39,1.4156928300000003e+33,0.0,0.0,7.97650451e+39,1.4156928300000003e+33,0.0,0.0,15Msun
14425.0,8.9,1.43409011e+39,2.58833225e+32,0.0,0.0,1.43409011e+39,2.58833225e+32,0.0,0.0,15Msun
14425.0,9.0,8.0716796e+38,1.46389833e+32,0.0,0.0,8.0716796e+38,1.46389833e+32,0.0,0.0,15Msun
14425.0,9.1,4.53731906e+38,8.26628963e+31,0.0,0.0,4.53731906e+38,8.26628963e+31,0.0,0.0,15Msun
14425.0,9.4,8.00279919e+37,1.47544971e+31,0.0,0.0,8.00279919e+37,1.47544971e+31,0.0,0.0,15Msun
14425.0,9.5,4.47826209e+37,8.28527845e+30,0.0,0.0,4.47826209e+37,8.28527845e+30,0.0,0.0,15Msun
14425.0,9.6,2.5034413599999996e+37,4.64685841e+30,0.0,0.0,2.5034413599999996e+37,4.64685841e+30,0.0,0.0,15Msun
14425.0,9.9,4.34870544e+36,8.14287152e+29,0.0,0.0,4.34870544e+36,8.14287152e+29,0.0,0.0,15Msun
14425.0,10.0,2.4221485099999998e+36,4.54719403e+29,0.0,0.0,2.4221485099999998e+36,4.54719403e+29,0.0,0.0,15Msun
14425.0,10.1,1.3479774099999998e+36,2.53681469e+29,0.0,0.0,1.3479774099999998e+36,2.53681469e+29,0.0,0.0,15Msun
14425.0,10.3,4.16507123e+35,7.87384988e+28,0.0,0.0,4.16507123e+35,7.87384988e+28,0.0,0.0,15Msun
14425.0,10.4,2.31262396e+35,4.38099201e+28,0.0,0.0,2.31262396e+35,4.38099201e+28,0.0,0.0,15Msun
14425.0,10.5,1.28315176e+35,2.43557605e+28,0.0,0.0,1.28315176e+35,2.43557605e+28,0.0,0.0,15Msun
14425.0,10.6,7.11462723e+34,1.35297135e+28,0.0,0.0,7.11462723e+34,1.35297135e+28,0.0,0.0,15Msun
14425.0,10.7,3.9421901700000004e+34,7.5101072e+27,0.0,0.0,3.9421901700000004e+34,7.5101072e+27,0.0,0.0,15Msun
14425.0,10.8,2.18295058e+34,4.165686e+27,0.0,0.0,2.18295058e+34,4.165686e+27,0.0,0.0,15Msun
14425.0,10.9,1.2080372000000002e+34,2.308986e+27,0.0,0.0,1.2080372000000002e+34,2.308986e+27,0.0,0.0,15Msun
14425.0,11.0,6.68121574e+33,1.27897293e+27,0.0,0.0,6.68121574e+33,1.27897293e+27,0.0,0.0,15Msun
14425.0,11.1,3.69298642e+33,7.07973508e+26,0.0,0.0,3.69298642e+33,7.07973508e+26,0.0,0.0,15Msun
14425.0,11.2,2.0401160300000003e+33,3.9164989e+26,0.0,0.0,2.0401160300000003e+33,3.9164989e+26,0.0,0.0,15Msun
14425.0,11.3,1.12640474e+33,2.16527789e+26,0.0,0.0,1.12640474e+33,2.16527789e+26,0.0,0.0,15Msun
14425.0,11.4,6.21589516e+32,1.19638973e+26,0.0,0.0,6.21589516e+32,1.19638973e+26,0.0,0.0,15Msun
14425.0,11.5,3.42838303e+32,6.60668281e+25,0.0,0.0,3.42838303e+32,6.60668281e+25,0.0,0.0,15Msun
14425.0,11.6,1.88998336e+32,3.64631282e+25,0.0,0.0,1.88998336e+32,3.64631282e+25,0.0,0.0,15Msun
