# Data for different parent isotopes separated by empty lines
# Column values are:
# [1] - neutrino energy (MeV)
# [2] - capture luminosity (1/MeV/s)
# [3] - decay luminosity (1/MeV/s)


#	h1-->neut	tau_cc (hr) = 0
#	energy (MeV)	capture (MeV^-1 s^-1)	decay (MeV^-1 s^-1)
0.00	0.00000000e+00	0.00000000e+00
0.10	8.30989509e+50	0.00000000e+00
0.20	3.39339295e+51	0.00000000e+00
0.30	7.72991268e+51	0.00000000e+00
0.40	1.38135610e+52	0.00000000e+00
0.50	2.15647464e+52	0.00000000e+00
0.60	3.08682986e+52	0.00000000e+00
0.70	4.15885301e+52	0.00000000e+00
0.80	5.35812191e+52	0.00000000e+00
0.90	6.67020999e+52	0.00000000e+00
1.00	8.08119592e+52	0.00000000e+00
1.10	9.57788344e+52	0.00000000e+00
1.20	1.11477966e+53	0.00000000e+00
1.30	1.27790279e+53	0.00000000e+00
1.40	1.44600072e+53	0.00000000e+00
1.50	1.61792548e+53	0.00000000e+00
1.60	1.79251638e+53	0.00000000e+00
1.70	1.96858442e+53	0.00000000e+00
1.80	2.14490437e+53	0.00000000e+00
1.90	2.32021497e+53	0.00000000e+00
2.00	2.49322669e+53	0.00000000e+00
2.10	2.66263538e+53	0.00000000e+00
2.20	2.82714081e+53	0.00000000e+00
2.30	2.98546756e+53	0.00000000e+00
2.40	3.13638716e+53	0.00000000e+00
2.50	3.27873988e+53	0.00000000e+00
2.60	3.41145475e+53	0.00000000e+00
2.70	3.53356753e+53	0.00000000e+00
2.80	3.64423545e+53	0.00000000e+00
2.90	3.74274868e+53	0.00000000e+00
3.00	3.82853825e+53	0.00000000e+00
3.10	3.90118036e+53	0.00000000e+00
3.20	3.96039693e+53	0.00000000e+00
3.30	4.00605299e+53	0.00000000e+00
3.40	4.03815093e+53	0.00000000e+00
3.50	4.05682197e+53	0.00000000e+00
3.60	4.06231575e+53	0.00000000e+00
3.70	4.05498838e+53	0.00000000e+00
3.80	4.03528968e+53	0.00000000e+00
3.90	4.00375009e+53	0.00000000e+00
4.00	3.96096795e+53	0.00000000e+00
4.10	3.90759737e+53	0.00000000e+00
4.20	3.84433697e+53	0.00000000e+00
4.30	3.77191957e+53	0.00000000e+00
4.40	3.69110325e+53	0.00000000e+00
4.50	3.60266313e+53	0.00000000e+00
4.60	3.50738438e+53	0.00000000e+00
