# Data for different parent isotopes separated by empty lines
# Column values are:
# [1] - neutrino energy (MeV)
# [2] - capture luminosity (1/MeV/s)
# [3] - decay luminosity (1/MeV/s)


#	h1-->neut	tau_cc (hr) = 0.0129229
#	energy (MeV)	capture (MeV^-1 s^-1)	decay (MeV^-1 s^-1)
0.00	0.00000000e+00	0.00000000e+00
0.10	6.49262605e+48	0.00000000e+00
0.20	2.51133433e+49	0.00000000e+00
0.30	5.41665545e+49	0.00000000e+00
0.40	9.15974279e+49	0.00000000e+00
0.50	1.35214557e+50	0.00000000e+00
0.60	1.82878835e+50	0.00000000e+00
0.70	2.32640101e+50	0.00000000e+00
0.80	2.82814550e+50	0.00000000e+00
0.90	3.32008600e+50	0.00000000e+00
1.00	3.79103435e+50	0.00000000e+00
1.10	4.23217521e+50	0.00000000e+00
1.20	4.63662415e+50	0.00000000e+00
1.30	4.99902780e+50	0.00000000e+00
1.40	5.31526224e+50	0.00000000e+00
1.50	5.58224307e+50	0.00000000e+00
1.60	5.79783072e+50	0.00000000e+00
1.70	5.96079974e+50	0.00000000e+00
1.80	6.07083716e+50	0.00000000e+00
1.90	6.12854181e+50	0.00000000e+00
2.00	6.13540507e+50	0.00000000e+00
2.10	6.09376340e+50	0.00000000e+00
2.20	6.00672226e+50	0.00000000e+00
2.30	5.87805499e+50	0.00000000e+00
2.40	5.71208484e+50	0.00000000e+00
2.50	5.51355516e+50	0.00000000e+00
2.60	5.28749491e+50	0.00000000e+00
2.70	5.03908247e+50	0.00000000e+00
2.80	4.77351149e+50	0.00000000e+00
2.90	4.49586189e+50	0.00000000e+00
3.00	4.21097918e+50	0.00000000e+00
3.10	3.92336781e+50	0.00000000e+00
3.20	3.63710176e+50	0.00000000e+00
3.30	3.35575688e+50	0.00000000e+00
3.40	3.08236886e+50	0.00000000e+00
3.50	2.81941538e+50	0.00000000e+00
3.60	2.56882351e+50	0.00000000e+00
3.70	2.33199741e+50	0.00000000e+00
3.80	2.10986253e+50	0.00000000e+00
3.90	1.90292138e+50	0.00000000e+00
4.00	1.71131502e+50	0.00000000e+00
4.10	1.53488653e+50	0.00000000e+00
4.20	1.37324213e+50	0.00000000e+00
4.30	1.22580768e+50	0.00000000e+00
4.40	1.09187894e+50	0.00000000e+00
4.50	9.70664490e+49	0.00000000e+00
4.60	8.61321681e+49	0.00000000e+00
4.70	7.62985526e+49	0.00000000e+00
4.80	6.74791442e+49	0.00000000e+00
4.90	5.95892560e+49	0.00000000e+00
5.00	5.25472427e+49	0.00000000e+00
5.10	4.62753860e+49	0.00000000e+00
5.20	4.07004768e+49	0.00000000e+00
5.30	3.57541489e+49	0.00000000e+00
5.40	3.13730283e+49	0.00000000e+00
5.50	2.74987351e+49	0.00000000e+00
5.60	2.40777820e+49	0.00000000e+00
5.70	2.10613952e+49	0.00000000e+00
5.80	1.84052846e+49	0.00000000e+00
5.90	1.60693804e+49	0.00000000e+00
6.00	1.40175512e+49	0.00000000e+00
6.10	1.22173138e+49	0.00000000e+00
6.20	1.06395443e+49	0.00000000e+00
6.30	9.25819549e+48	0.00000000e+00
6.40	8.05002468e+48	0.00000000e+00
6.50	6.99433524e+48	0.00000000e+00
6.60	6.07273365e+48	0.00000000e+00
6.70	5.26890294e+48	0.00000000e+00
6.80	4.56839278e+48	0.00000000e+00
6.90	3.95842640e+48	0.00000000e+00
7.00	3.42772356e+48	0.00000000e+00
7.10	2.96633964e+48	0.00000000e+00
7.20	2.56551905e+48	0.00000000e+00
7.30	2.21756298e+48	0.00000000e+00
7.40	1.91571017e+48	0.00000000e+00
7.50	1.65402937e+48	0.00000000e+00
7.60	1.42732341e+48	0.00000000e+00
7.70	1.23104311e+48	0.00000000e+00
7.80	1.06121042e+48	0.00000000e+00
7.90	9.14350253e+47	0.00000000e+00
8.00	7.87429648e+47	0.00000000e+00
8.10	6.77803915e+47	0.00000000e+00
8.20	5.83168923e+47	0.00000000e+00
8.30	5.01518952e+47	0.00000000e+00
8.40	4.31109410e+47	0.00000000e+00
8.50	3.70424060e+47	0.00000000e+00
8.60	3.18146095e+47	0.00000000e+00
8.70	2.73132752e+47	0.00000000e+00
8.80	2.34393007e+47	0.00000000e+00
8.90	2.01068014e+47	0.00000000e+00
9.00	1.72413971e+47	0.00000000e+00
9.10	1.47787114e+47	0.00000000e+00
