# Data for different parent isotopes separated by empty lines
# Column values are:
# [1] - neutrino energy (MeV)
# [2] - capture luminosity (1/MeV/s)
# [3] - decay luminosity (1/MeV/s)


#	h1-->neut	tau_cc (hr) = 185.199
#	energy (MeV)	capture (MeV^-1 s^-1)	decay (MeV^-1 s^-1)
0.00	0.00000000e+00	0.00000000e+00
0.10	1.66858090e+39	0.00000000e+00
0.20	6.63816473e+39	0.00000000e+00
0.30	1.45050472e+40	0.00000000e+00
0.40	2.41971605e+40	0.00000000e+00
0.50	3.40377435e+40	0.00000000e+00
0.60	4.21935921e+40	0.00000000e+00
0.70	4.72918172e+40	0.00000000e+00
0.80	4.88359516e+40	0.00000000e+00
0.90	4.71939781e+40	0.00000000e+00
1.00	4.32534355e+40	0.00000000e+00
1.10	3.80162264e+40	0.00000000e+00
1.20	3.23292854e+40	0.00000000e+00
1.30	2.67848515e+40	0.00000000e+00
1.40	2.17322724e+40	0.00000000e+00
1.50	1.73352718e+40	0.00000000e+00
1.60	1.36341129e+40	0.00000000e+00
1.70	1.05960656e+40	0.00000000e+00
1.80	8.15100258e+39	0.00000000e+00
1.90	6.21429823e+39	0.00000000e+00
2.00	4.70042458e+39	0.00000000e+00
2.10	3.53028428e+39	0.00000000e+00
2.20	2.63456997e+39	0.00000000e+00
2.30	1.95473916e+39	0.00000000e+00
2.40	1.44265045e+39	0.00000000e+00
2.50	1.05952560e+39	0.00000000e+00
2.60	7.74642090e+38	0.00000000e+00
2.70	5.63990833e+38	0.00000000e+00
2.80	4.09025522e+38	0.00000000e+00
2.90	2.95562225e+38	0.00000000e+00
3.00	2.12847695e+38	0.00000000e+00
3.10	1.52792514e+38	0.00000000e+00
3.20	1.09353184e+38	0.00000000e+00
3.30	7.80427848e+37	0.00000000e+00
3.40	5.55488774e+37	0.00000000e+00
3.50	3.94386922e+37	0.00000000e+00
3.60	2.79339785e+37	0.00000000e+00
3.70	1.97405824e+37	0.00000000e+00
3.80	1.39204648e+37	0.00000000e+00
3.90	9.79625691e+36	0.00000000e+00
4.00	6.88053131e+36	0.00000000e+00
4.10	4.82368444e+36	0.00000000e+00
4.20	3.37573153e+36	0.00000000e+00
4.30	2.35843289e+36	0.00000000e+00
4.40	1.64504586e+36	0.00000000e+00
4.50	1.14567527e+36	0.00000000e+00
4.60	7.96713907e+35	0.00000000e+00
4.70	5.53257294e+35	0.00000000e+00
4.80	3.83672548e+35	0.00000000e+00
4.90	2.65721454e+35	0.00000000e+00
5.00	1.83800607e+35	0.00000000e+00
5.10	1.26982117e+35	0.00000000e+00
5.20	8.76260378e+34	0.00000000e+00
5.30	6.04000652e+34	0.00000000e+00
5.40	4.15884640e+34	0.00000000e+00
5.50	2.86059444e+34	0.00000000e+00
5.60	1.96563762e+34	0.00000000e+00
5.70	1.34936487e+34	0.00000000e+00
5.80	9.25440283e+33	0.00000000e+00
5.90	6.34123726e+33	0.00000000e+00
6.00	4.34129326e+33	0.00000000e+00
6.10	2.96958694e+33	0.00000000e+00
6.20	2.02962815e+33	0.00000000e+00
6.30	1.38609052e+33	0.00000000e+00
6.40	9.45871290e+32	0.00000000e+00
6.50	6.44982629e+32	0.00000000e+00
6.60	4.39490244e+32	0.00000000e+00
6.70	2.99257477e+32	0.00000000e+00
6.80	2.03631160e+32	0.00000000e+00
6.90	1.38469922e+32	0.00000000e+00
7.00	9.40993904e+31	0.00000000e+00
7.10	6.39066648e+31	0.00000000e+00
7.20	4.33751504e+31	0.00000000e+00
7.30	2.94224300e+31	0.00000000e+00
7.40	1.99464546e+31	0.00000000e+00
7.50	1.35147862e+31	0.00000000e+00
7.60	9.15198548e+30	0.00000000e+00
7.70	6.19427240e+30	0.00000000e+00
7.80	4.19025098e+30	0.00000000e+00
7.90	2.83315423e+30	0.00000000e+00
8.00	1.91463652e+30	0.00000000e+00
8.10	1.29328339e+30	0.00000000e+00
8.20	8.73167144e+29	0.00000000e+00
8.30	5.89253712e+29	0.00000000e+00
8.40	3.97478148e+29	0.00000000e+00
8.50	2.67999982e+29	0.00000000e+00
8.60	1.80622259e+29	0.00000000e+00
8.70	1.21682199e+29	0.00000000e+00
8.80	8.19419371e+28	0.00000000e+00
8.90	5.51585440e+28	0.00000000e+00
