trigger,fluence_ch1,err_ch1,fluence_ch2,err_ch2,fluence_ch3,err_ch3,fluence_ch4,err_ch4,peak_flux_64ms,err_flux_64ms,time_flux_64ms,peak_flux_256ms,err_flux_256ms,time_flux_256ms,peak_flux_1024ms,err_flux_1024ms,time_flux_1024ms,name,burst_id,tjd,time_sec,ra_deg,dec_deg,gal_lon,gal_lat,error_radius,geocenter_angle,overwrite_flag,overwritten_flag,jd,datetime
105.0,8.685e-07,1.0887e-08,1.3209e-06,1.4368e-08,2.0468e-06,1.7931e-07,1.0321e-06,1.7931e-07,12.761,0.544,3.84,11.857,0.265,3.84,9.937,0.123,4.16,4B,910421,8367.0,33243.756,270.68,24.76,50.75,21.19,0.53,123.48,N,N,2448367.5,1991-04-21 09:14:03.756
107.0,5.5032e-08,9.8234e-09,5.6918e-08,1.0321e-08,5.9237e-08,2.0034e-08,7.6854e-08,5.499e-07,0.408,0.217,-0.448,0.299,0.108,-0.256,0.2,0.053,0.128,4B,910423,8369.0,71684.716,193.47,-8.38,303.97,54.49,11.1,143.48,N,N,2448369.5,1991-04-23 19:54:44.716
108.0,8.2861e-09,6.0599e-09,1.4947e-08,5.2203e-09,3.1987e-08,1.2363e-08,1.4604e-06,4.2317e-07,0.812,0.238,0.0,0.439,0.107,0.128,0.112,0.048,0.768,4B,910424,8370.0,71006.572,201.31,-45.41,309.13,17.06,13.78,90.87,N,N,2448370.5,1991-04-24 19:43:26.572
109.0,4.4255e-06,3.9649e-08,7.308e-06,4.9525e-08,1.7653e-05,1.2098e-07,2.9537e-05,9.0307e-07,3.777,0.354,34.368,3.62,0.173,34.56,3.35,0.084,35.072,4B,910425,8371.0,2265.707,91.29,-22.77,228.99,-19.94,1.02,88.58,N,N,2448371.5,1991-04-25 00:37:45.707
110.0,4.5034e-07,3.6621e-08,4.6726e-07,4.0653e-08,1.7766e-06,1.4014e-07,4.0053e-07,7.0827e-07,0.475,0.218,0.0,0.478,0.107,0.192,0.367,0.052,0.32,4B,910425B,8371.0,20253.291,335.94,25.77,85.83,-26.27,4.79,81.93,N,N,2448371.5,1991-04-25 05:37:33.291
111.0,1.111e-06,3.3433e-08,1.8851e-06,4.5079e-08,2.022e-06,8.8778e-08,0.0,4.3962e-07,0.774,0.257,2.624,0.649,0.124,2.816,0.589,0.061,2.88,4B,910426,8372.0,80046.699,75.82,-19.51,219.84,-32.25,2.67,161.92,N,N,2448372.5,1991-04-26 22:14:06.699
114.0,6.5931e-07,5.9408e-08,7.019e-07,7.5803e-08,7.2099e-07,1.5653e-07,0.0,1.2035e-06,0.74,0.251,-0.128,0.722,0.122,-0.128,0.516,0.059,0.576,4B,910427,8373.0,32720.747,78.86,-15.59,216.87,-28.11,9.07,170.33,N,N,2448373.5,1991-04-27 09:05:20.747
121.0,2.4987e-06,3.9769e-08,2.6381e-06,3.6622e-08,4.7813e-06,1.0211e-07,7.266e-06,1.1075e-06,1.793,0.27,53.888,1.496,0.136,1.984,1.128,0.063,2.304,4B,910429,8375.0,11509.803,174.75,14.33,246.48,68.82,1.36,85.46,Y,Y,2448375.5,1991-04-29 03:11:49.803
130.0,3.1859e-06,3.0566e-08,4.885e-06,3.7336e-08,1.3484e-05,1.0646e-07,1.7184e-05,7.932e-07,3.926,0.369,12.096,3.468,0.178,12.16,2.816,0.083,12.224,4B,910430,8376.0,61719.147,135.8,2.73,226.69,30.33,0.5,105.21,N,N,2448376.5,1991-04-30 17:08:39.147
133.0,7.4327e-07,4.1611e-08,7.47e-07,4.4329e-08,2.4223e-06,1.1826e-07,1.8328e-06,8.1751e-07,0.808,0.242,144.832,0.659,0.118,143.936,0.607,0.059,144.448,4B,910501,8377.0,30014.059,126.54,-0.23,224.46,20.83,2.19,153.99,N,N,2448377.5,1991-05-01 08:20:14.059
