Run_Event_ID,Revision,Date_UTC,Time_UTC,Alert_Type,RA_deg,Dec_deg,Error90_arcmin,Error50_arcmin,Energy_TeV,Signalness,FAR_per_year,Notes
140729_49427574,1,25/03/30,08:31:06.32,BRONZE,307.5299,11.0700,29.39,15.90,1.4757e02,3.9274e-01,1.7612,IceCube Bronze event. The position error is statistical only there is no systematic added.
140729_49427574,0,25/03/30,08:31:06.32,BRONZE,307.3273,10.9760,30.80,12.00,1.4757e02,3.9274e-01,1.7612,IceCube Bronze event. The position error is statistical only there is no systematic added.
140626_1288692,1,25/03/09,07:36:04.75,GOLD,211.0699,-10.7300,17.54,8.69,4.1324e03,5.0757e-01,0.1759,IceCube Bronze event. The position error is statistical only there is no systematic added.
140626_1288692,0,25/03/09,07:36:04.75,GOLD,210.8008,-10.4397,30.80,12.00,4.1324e03,5.0757e-01,0.1759,IceCube Bronze event. The position error is statistical only there is no systematic added.
140601_60511904,1,25/03/02,03:20:52.90,GOLD,348.2200,3.5499,27.00,15.00,1.4538e03,9.7230e-01,0.1579,IceCube Bronze event. The position error is statistical only there is no systematic added.
140601_60511904,0,25/03/02,03:20:52.90,GOLD,348.3255,3.6783,30.80,12.00,1.4538e03,9.7230e-01,0.1579,IceCube Bronze event. The position error is statistical only there is no systematic added.
140472_78196104,1,25/02/07,02:07:55.27,BRONZE,132.9300,20.6600,99.30,50.99,1.5911e02,4.6806e-01,1.4538,IceCube Bronze event. The position error is statistical only there is no systematic added.
140472_78196104,0,25/02/07,02:07:55.27,BRONZE,130.2648,17.0426,266.14,103.67,1.5911e02,4.6806e-01,1.4538,IceCube Bronze event. The position error is statistical only there is no systematic added.
140436_11917698,1,25/02/03,03:59:29.20,BRONZE,253.3000,-1.3100,28.49,15.60,1.1429e02,3.0465e-01,3.7051,IceCube Bronze event. The position error is statistical only there is no systematic added.
140436_11917698,0,25/02/03,03:59:29.20,BRONZE,253.2663,-1.2745,30.80,12.00,1.1429e02,3.0465e-01,3.7051,IceCube Bronze event. The position error is statistical only there is no systematic added.
140314_61338661,1,25/01/02,13:48:01.92,BRONZE,262.7900,6.6900,63.29,34.49,1.0700e02,2.5888e-01,4.2015,IceCube Bronze event. The position error is statistical only there is no systematic added.
140314_61338661,0,25/01/02,13:48:01.92,BRONZE,262.6816,6.6574,137.39,53.52,1.0700e02,2.5888e-01,4.2015,IceCube Bronze event. The position error is statistical only there is no systematic added.
