,tau_cc_hr,Lnue,Lnuebar,Lnux,Total_Luminosity
22,14425.0,3.7029990159295657e+48,3.145408565204905e+48,6.156933131084823e+47,7.464100894242953e+48
21,185.2,2.0574051367688634e+50,1.6797165100879245e+50,3.5745960001393406e+49,4.094581246870722e+50
20,24.128,3.0704618662973335e+51,2.193174704898511e+51,4.6618945140153655e+50,5.7298260225973815e+51
19,7.4446,7.687313600304157e+51,6.102428634848741e+51,1.2785745929456547e+51,1.5068316828098553e+52
18,2.4879,2.2155344752613597e+52,1.673260629078756e+52,3.08235447856884e+51,4.1970305521969995e+52
17,2.3969,1.361061183820731e+52,1.2040725319045392e+52,2.2625301109739464e+51,2.791386726822665e+52
16,2.0385,1.1558934990037103e+52,1.0232309458027757e+52,1.983690049743664e+51,2.3774934497808525e+52
15,1.8639,1.2247703701274208e+52,1.0645964329784874e+52,2.070415314384058e+51,2.496408334544314e+52
14,1.5411,1.3269693554392863e+52,1.1355305865199881e+52,2.2017055502824206e+51,2.6826704969875167e+52
13,1.2939,1.5362878412098006e+52,1.284001083100609e+52,2.4864923578735045e+51,3.06893816009776e+52
12,1.0862,1.7285876820481564e+52,1.4156645078456677e+52,2.7228799539672125e+51,3.416540185290545e+52
11,0.76442,2.365766100224215e+52,1.8447576187099693e+52,3.4499133821870085e+51,4.555515057152885e+52
10,0.47927,3.269932392741287e+52,2.3661833671793154e+52,4.3734309383155136e+51,6.073458853752154e+52
9,0.23354,5.902391871230477e+52,4.150541192173197e+52,6.552210892326376e+51,1.0708154152636313e+53
8,0.16359,7.730135654947761e+52,4.963637801381743e+52,7.823626356203831e+51,1.3476136091949886e+53
7,0.10216,1.0843570439031083e+53,6.805970870450437e+52,9.75610943630508e+51,1.8625152253112027e+53
6,0.036501,2.274771100849174e+53,1.379510905520202e+53,1.5450059749295107e+52,3.808782603862327e+53
5,0.023415,3.037189709623797e+53,1.8010874384864173e+53,1.8321907727666972e+52,5.021496225386884e+53
4,0.012923,4.182589866597609e+53,2.1556554324102825e+53,2.2492035254169025e+52,6.563165651549582e+53
3,0.0076689,5.168563817877616e+53,2.3834812785933447e+53,2.657337695725432e+52,7.817778866043504e+53
