# Data for different parent isotopes separated by empty lines
# Column values are:
# [1] - neutrino energy (MeV)
# [2] - capture luminosity (1/MeV/s)
# [3] - decay luminosity (1/MeV/s)


#	h1-->neut	tau_cc (hr) = 1.6316772e-05
#	energy (MeV)	capture (MeV^-1 s^-1)	decay (MeV^-1 s^-1)
0.00	0.00000000e+00	0.00000000e+00
0.10	1.04678233e+50	0.00000000e+00
0.20	4.23271735e+50	0.00000000e+00
0.30	9.51019914e+50	0.00000000e+00
0.40	1.67055737e+51	0.00000000e+00
0.50	2.55601500e+51	0.00000000e+00
0.60	3.57706934e+51	0.00000000e+00
0.70	4.70233794e+51	0.00000000e+00
0.80	5.90180562e+51	0.00000000e+00
0.90	7.14823622e+51	0.00000000e+00
1.00	8.41771725e+51	0.00000000e+00
1.10	9.68958636e+51	0.00000000e+00
1.20	1.09460020e+52	0.00000000e+00
1.30	1.21713857e+52	0.00000000e+00
1.40	1.33518934e+52	0.00000000e+00
1.50	1.44750137e+52	0.00000000e+00
1.60	1.55293225e+52	0.00000000e+00
1.70	1.65043928e+52	0.00000000e+00
1.80	1.73908239e+52	0.00000000e+00
1.90	1.81803525e+52	0.00000000e+00
2.00	1.88660027e+52	0.00000000e+00
2.10	1.94422352e+52	0.00000000e+00
2.20	1.99050735e+52	0.00000000e+00
2.30	2.02521846e+52	0.00000000e+00
2.40	2.04829095e+52	0.00000000e+00
2.50	2.05982380e+52	0.00000000e+00
2.60	2.06007407e+52	0.00000000e+00
2.70	2.04944550e+52	0.00000000e+00
2.80	2.02847423e+52	0.00000000e+00
2.90	1.99781248e+52	0.00000000e+00
3.00	1.95821061e+52	0.00000000e+00
3.10	1.91049837e+52	0.00000000e+00
3.20	1.85556601e+52	0.00000000e+00
3.30	1.79434537e+52	0.00000000e+00
3.40	1.72779143e+52	0.00000000e+00
3.50	1.65686465e+52	0.00000000e+00
3.60	1.58251436e+52	0.00000000e+00
3.70	1.50566334e+52	0.00000000e+00
3.80	1.42719417e+52	0.00000000e+00
3.90	1.34793726e+52	0.00000000e+00
4.00	1.26866075e+52	0.00000000e+00
4.10	1.19006256e+52	0.00000000e+00
4.20	1.11276453e+52	0.00000000e+00
4.30	1.03730860e+52	0.00000000e+00
4.40	9.64155221e+51	0.00000000e+00
4.50	8.93683827e+51	0.00000000e+00
4.60	8.26194996e+51	0.00000000e+00
4.70	7.61914546e+51	0.00000000e+00
4.80	7.00998775e+51	0.00000000e+00
4.90	6.43540967e+51	0.00000000e+00
5.00	5.89578446e+51	0.00000000e+00
5.10	5.39100103e+51	0.00000000e+00
5.20	4.92053932e+51	0.00000000e+00
5.30	4.48354350e+51	0.00000000e+00
5.40	4.07889103e+51	0.00000000e+00
5.50	3.70525558e+51	0.00000000e+00
5.60	3.36116327e+51	0.00000000e+00
5.70	3.04504168e+51	0.00000000e+00
5.80	2.75526151e+51	0.00000000e+00
5.90	2.49017139e+51	0.00000000e+00
6.00	2.24812607e+51	0.00000000e+00
6.10	2.02750903e+51	0.00000000e+00
6.20	1.82674981e+51	0.00000000e+00
6.30	1.64433706e+51	0.00000000e+00
6.40	1.47882782e+51	0.00000000e+00
6.50	1.32885368e+51	0.00000000e+00
6.60	1.19312455e+51	0.00000000e+00
6.70	1.07043032e+51	0.00000000e+00
6.80	9.59640817e+50	0.00000000e+00
6.90	8.59704788e+50	0.00000000e+00
7.00	7.69647626e+50	0.00000000e+00
7.10	6.88568670e+50	0.00000000e+00
7.20	6.15637861e+50	0.00000000e+00
7.30	5.50092095e+50	0.00000000e+00
7.40	4.91231491e+50	0.00000000e+00
7.50	4.38415408e+50	0.00000000e+00
7.60	3.91058602e+50	0.00000000e+00
7.70	3.48627348e+50	0.00000000e+00
7.80	3.10635703e+50	0.00000000e+00
7.90	2.76641904e+50	0.00000000e+00
8.00	2.46244909e+50	0.00000000e+00
8.10	2.19081128e+50	0.00000000e+00
8.20	1.94821339e+50	0.00000000e+00
8.30	1.73167782e+50	0.00000000e+00
8.40	1.53851458e+50	0.00000000e+00
8.50	1.36629602e+50	0.00000000e+00
8.60	1.21283345e+50	0.00000000e+00
8.70	1.07615546e+50	0.00000000e+00
8.80	9.54488081e+49	0.00000000e+00
