# Data for different parent isotopes separated by empty lines
# Column values are:
# [1] - neutrino energy (MeV)
# [2] - capture luminosity (1/MeV/s)
# [3] - decay luminosity (1/MeV/s)


#	h1-->neut	tau_cc (hr) = 0.036500618
#	energy (MeV)	capture (MeV^-1 s^-1)	decay (MeV^-1 s^-1)
0.00	0.00000000e+00	0.00000000e+00
0.10	2.40652217e+48	0.00000000e+00
0.20	9.10558495e+48	0.00000000e+00
0.30	1.92098759e+49	0.00000000e+00
0.40	3.17871297e+49	0.00000000e+00
0.50	4.59527087e+49	0.00000000e+00
0.60	6.09278481e+49	0.00000000e+00
0.70	7.60671977e+49	0.00000000e+00
0.80	9.08619454e+49	0.00000000e+00
0.90	1.04926237e+50	0.00000000e+00
1.00	1.17974784e+50	0.00000000e+00
1.10	1.29798596e+50	0.00000000e+00
1.20	1.40243762e+50	0.00000000e+00
1.30	1.49196010e+50	0.00000000e+00
1.40	1.56571603e+50	0.00000000e+00
1.50	1.62313689e+50	0.00000000e+00
1.60	1.66392351e+50	0.00000000e+00
1.70	1.68806465e+50	0.00000000e+00
1.80	1.69585709e+50	0.00000000e+00
1.90	1.68791510e+50	0.00000000e+00
2.00	1.66516299e+50	0.00000000e+00
2.10	1.62880913e+50	0.00000000e+00
2.20	1.58030334e+50	0.00000000e+00
2.30	1.52128181e+50	0.00000000e+00
2.40	1.45350474e+50	0.00000000e+00
2.50	1.37879146e+50	0.00000000e+00
2.60	1.29895751e+50	0.00000000e+00
2.70	1.21575687e+50	0.00000000e+00
2.80	1.13083214e+50	0.00000000e+00
2.90	1.04567428e+50	0.00000000e+00
3.00	9.61592991e+49	0.00000000e+00
3.10	8.79698270e+49	0.00000000e+00
3.20	8.00892893e+49	0.00000000e+00
3.30	7.25874974e+49	0.00000000e+00
3.40	6.55148973e+49	0.00000000e+00
3.50	5.89043380e+49	0.00000000e+00
3.60	5.27732633e+49	0.00000000e+00
3.70	4.71261354e+49	0.00000000e+00
3.80	4.19568855e+49	0.00000000e+00
3.90	3.72512499e+49	0.00000000e+00
4.00	3.29888915e+49	0.00000000e+00
4.10	2.91452464e+49	0.00000000e+00
4.20	2.56930779e+49	0.00000000e+00
4.30	2.26037366e+49	0.00000000e+00
4.40	1.98481570e+49	0.00000000e+00
4.50	1.73976122e+49	0.00000000e+00
4.60	1.52242745e+49	0.00000000e+00
4.70	1.33016036e+49	0.00000000e+00
4.80	1.16046049e+49	0.00000000e+00
4.90	1.01099807e+49	0.00000000e+00
5.00	8.79620203e+48	0.00000000e+00
5.10	7.64351820e+48	0.00000000e+00
5.20	6.63392294e+48	0.00000000e+00
5.30	5.75108880e+48	0.00000000e+00
5.40	4.98028058e+48	0.00000000e+00
5.50	4.30825566e+48	0.00000000e+00
5.60	3.72315691e+48	0.00000000e+00
5.70	3.21440350e+48	0.00000000e+00
5.80	2.77258187e+48	0.00000000e+00
5.90	2.38934034e+48	0.00000000e+00
6.00	2.05728769e+48	0.00000000e+00
6.10	1.76989832e+48	0.00000000e+00
6.20	1.52142311e+48	0.00000000e+00
6.30	1.30680722e+48	0.00000000e+00
6.40	1.12161460e+48	0.00000000e+00
6.50	9.61959101e+47	0.00000000e+00
6.60	8.24441928e+47	0.00000000e+00
6.70	7.06095152e+47	0.00000000e+00
6.80	6.04330954e+47	0.00000000e+00
6.90	5.16896066e+47	0.00000000e+00
7.00	4.41831156e+47	0.00000000e+00
7.10	3.77434643e+47	0.00000000e+00
7.20	3.22230569e+47	0.00000000e+00
7.30	2.74940186e+47	0.00000000e+00
7.40	2.34456814e+47	0.00000000e+00
7.50	1.99823713e+47	0.00000000e+00
7.60	1.70214609e+47	0.00000000e+00
7.70	1.44916605e+47	0.00000000e+00
7.80	1.23315205e+47	0.00000000e+00
7.90	1.04881212e+47	0.00000000e+00
8.00	8.91592836e+46	0.00000000e+00
8.10	7.57579618e+46	0.00000000e+00
8.20	6.43409809e+46	0.00000000e+00
8.30	5.46197136e+46	0.00000000e+00
8.40	4.63466152e+46	0.00000000e+00
8.50	3.93095276e+46	0.00000000e+00
8.60	3.33267542e+46	0.00000000e+00
8.70	2.82427946e+46	0.00000000e+00
8.80	2.39246547e+46	0.00000000e+00
8.90	2.02586658e+46	0.00000000e+00
9.00	1.71477372e+46	0.00000000e+00
9.10	1.45089890e+46	0.00000000e+00
9.20	1.22717152e+46	0.00000000e+00
9.30	1.03756303e+46	0.00000000e+00
9.40	8.76936266e+45	0.00000000e+00
9.50	7.40916068e+45	0.00000000e+00
9.60	6.25778240e+45	0.00000000e+00
9.70	5.28354357e+45	0.00000000e+00
9.80	4.45950197e+45	0.00000000e+00
9.90	3.76275916e+45	0.00000000e+00
10.00	3.17386282e+45	0.00000000e+00
10.10	2.67629605e+45	0.00000000e+00
10.20	2.25604080e+45	0.00000000e+00
10.30	1.90120522e+45	0.00000000e+00
10.40	1.60170550e+45	0.00000000e+00
10.50	1.34899488e+45	0.00000000e+00
10.60	1.13583210e+45	0.00000000e+00
10.70	9.56084719e+44	0.00000000e+00
10.80	8.04561321e+44	0.00000000e+00
10.90	6.76868859e+44	0.00000000e+00
11.00	5.69291306e+44	0.00000000e+00
11.10	4.78686493e+44	0.00000000e+00
11.20	4.02398468e+44	0.00000000e+00
11.30	3.38183060e+44	0.00000000e+00
11.40	2.84144720e+44	0.00000000e+00
11.50	2.38682907e+44	0.00000000e+00
11.60	2.00446633e+44	0.00000000e+00
11.70	1.68295931e+44	0.00000000e+00
11.80	1.41269211e+44	0.00000000e+00
11.90	1.18555599e+44	0.00000000e+00
12.00	9.94715422e+43	0.00000000e+00
12.10	8.34409782e+43	0.00000000e+00
12.20	6.99785874e+43	0.00000000e+00
12.30	5.86756168e+43	0.00000000e+00
12.40	4.91879007e+43	0.00000000e+00
12.50	4.12257375e+43	0.00000000e+00
12.60	3.45453396e+43	0.00000000e+00
12.70	2.89416110e+43	0.00000000e+00
12.80	2.42420567e+43	0.00000000e+00
12.90	2.03016339e+43	0.00000000e+00
13.00	1.69984197e+43	0.00000000e+00
13.10	1.42299489e+43	0.00000000e+00
13.20	1.19101318e+43	0.00000000e+00
13.30	9.96665388e+42	0.00000000e+00
13.40	8.33878755e+42	0.00000000e+00
13.50	6.97554716e+42	0.00000000e+00
13.60	5.83413638e+42	0.00000000e+00
13.70	4.87864111e+42	0.00000000e+00
13.80	4.07892951e+42	0.00000000e+00
13.90	3.40972687e+42	0.00000000e+00
14.00	2.84983717e+42	0.00000000e+00
14.10	2.38148886e+42	0.00000000e+00
14.20	1.98978458e+42	0.00000000e+00
14.30	1.66223917e+42	0.00000000e+00
14.40	1.38839116e+42	0.00000000e+00
14.50	1.15947648e+42	0.00000000e+00
14.60	9.68154602e+41	0.00000000e+00
14.70	8.08278485e+41	0.00000000e+00
