# Data for different parent isotopes separated by empty lines
# Column values are:
# [1] - neutrino energy (MeV)
# [2] - capture luminosity (1/MeV/s)
# [3] - decay luminosity (1/MeV/s)


#	h1-->neut	tau_cc (hr) = 7.44464
#	energy (MeV)	capture (MeV^-1 s^-1)	decay (MeV^-1 s^-1)
0.00	0.00000000e+00	0.00000000e+00
0.10	5.51263896e+44	0.00000000e+00
0.20	2.20220738e+45	0.00000000e+00
0.30	4.79037703e+45	0.00000000e+00
0.40	7.98718867e+45	0.00000000e+00
0.50	1.13834597e+46	0.00000000e+00
0.60	1.45819139e+46	0.00000000e+00
0.70	1.72683981e+46	0.00000000e+00
0.80	1.92479627e+46	0.00000000e+00
0.90	2.04469169e+46	0.00000000e+00
1.00	2.08912959e+46	0.00000000e+00
1.10	2.06747403e+46	0.00000000e+00
1.20	1.99264112e+46	0.00000000e+00
1.30	1.87851611e+46	0.00000000e+00
1.40	1.73820266e+46	0.00000000e+00
1.50	1.58304102e+46	0.00000000e+00
1.60	1.42221055e+46	0.00000000e+00
1.70	1.26271569e+46	0.00000000e+00
1.80	1.10958893e+46	0.00000000e+00
1.90	9.66192569e+45	0.00000000e+00
2.00	8.34544634e+45	0.00000000e+00
2.10	7.15626972e+45	0.00000000e+00
2.20	6.09655170e+45	0.00000000e+00
2.30	5.16303462e+45	0.00000000e+00
2.40	4.34884836e+45	0.00000000e+00
2.50	3.64490828e+45	0.00000000e+00
2.60	3.04096637e+45	0.00000000e+00
2.70	2.52637656e+45	0.00000000e+00
2.80	2.09063131e+45	0.00000000e+00
2.90	1.72371952e+45	0.00000000e+00
3.00	1.41634824e+45	0.00000000e+00
3.10	1.16006349e+45	0.00000000e+00
3.20	9.47297991e+44	0.00000000e+00
3.30	7.71368042e+44	0.00000000e+00
3.40	6.26436403e+44	0.00000000e+00
3.50	5.07454138e+44	0.00000000e+00
3.60	4.10090694e+44	0.00000000e+00
3.70	3.30659089e+44	0.00000000e+00
3.80	2.66040889e+44	0.00000000e+00
3.90	2.13614083e+44	0.00000000e+00
4.00	1.71185811e+44	0.00000000e+00
4.10	1.36931013e+44	0.00000000e+00
4.20	1.09337488e+44	0.00000000e+00
4.30	8.71573721e+43	0.00000000e+00
4.40	6.93648108e+43	0.00000000e+00
4.50	5.51194056e+43	0.00000000e+00
4.60	4.37349278e+43	0.00000000e+00
4.70	3.46527290e+43	0.00000000e+00
4.80	2.74193146e+43	0.00000000e+00
4.90	2.16675288e+43	0.00000000e+00
5.00	1.71008608e+43	0.00000000e+00
5.10	1.34804150e+43	0.00000000e+00
5.20	1.06141447e+43	0.00000000e+00
5.30	8.34798909e+42	0.00000000e+00
5.40	6.55860601e+42	0.00000000e+00
5.50	5.14743360e+42	0.00000000e+00
5.60	4.03585358e+42	0.00000000e+00
5.70	3.16126244e+42	0.00000000e+00
5.80	2.47389087e+42	0.00000000e+00
5.90	1.93423384e+42	0.00000000e+00
6.00	1.51098040e+42	0.00000000e+00
6.10	1.17934931e+42	0.00000000e+00
6.20	9.19753848e+41	0.00000000e+00
6.30	7.16733220e+41	0.00000000e+00
6.40	5.58098595e+41	0.00000000e+00
6.50	4.34252216e+41	0.00000000e+00
6.60	3.37645256e+41	0.00000000e+00
6.70	2.62347012e+41	0.00000000e+00
6.80	2.03702991e+41	0.00000000e+00
6.90	1.58064042e+41	0.00000000e+00
7.00	1.22572027e+41	0.00000000e+00
7.10	9.49904958e+40	0.00000000e+00
7.20	7.35710551e+40	0.00000000e+00
7.30	5.69480857e+40	0.00000000e+00
7.40	4.40558462e+40	0.00000000e+00
7.50	3.40633178e+40	0.00000000e+00
7.60	2.63230223e+40	0.00000000e+00
7.70	2.03308793e+40	0.00000000e+00
7.80	1.56947402e+40	0.00000000e+00
7.90	1.21097559e+40	0.00000000e+00
8.00	9.33910953e+39	0.00000000e+00
8.10	7.19895872e+39	0.00000000e+00
8.20	5.54668077e+39	0.00000000e+00
8.30	4.27170128e+39	0.00000000e+00
8.40	3.28834643e+39	0.00000000e+00
8.50	2.53027577e+39	0.00000000e+00
8.60	1.94614945e+39	0.00000000e+00
8.70	1.49625930e+39	0.00000000e+00
8.80	1.14991046e+39	0.00000000e+00
8.90	8.83388404e+38	0.00000000e+00
9.00	6.78381102e+38	0.00000000e+00
9.10	5.20755575e+38	0.00000000e+00
9.20	3.99609567e+38	0.00000000e+00
9.30	3.06537147e+38	0.00000000e+00
9.40	2.35060159e+38	0.00000000e+00
9.50	1.80188438e+38	0.00000000e+00
9.60	1.38079749e+38	0.00000000e+00
9.70	1.05777019e+38	0.00000000e+00
9.80	8.10053910e+37	0.00000000e+00
9.90	6.20155646e+37	0.00000000e+00
10.00	4.74629235e+37	0.00000000e+00
10.10	3.63143264e+37	0.00000000e+00
10.20	2.77762686e+37	0.00000000e+00
10.30	2.12395241e+37	0.00000000e+00
10.40	1.62365270e+37	0.00000000e+00
10.50	1.24085608e+37	0.00000000e+00
10.60	9.48051563e+36	0.00000000e+00
10.70	7.24147577e+36	0.00000000e+00
10.80	5.52979472e+36	0.00000000e+00
10.90	4.22162756e+36	0.00000000e+00
11.00	3.22212149e+36	0.00000000e+00
11.10	2.45865193e+36	0.00000000e+00
11.20	1.87563071e+36	0.00000000e+00
11.30	1.43052252e+36	0.00000000e+00
11.40	1.09078975e+36	0.00000000e+00
11.50	8.31549721e+35	0.00000000e+00
11.60	6.33779247e+35	0.00000000e+00
11.70	4.82938882e+35	0.00000000e+00
11.80	3.67919159e+35	0.00000000e+00
