ra_deg,dec_deg,Name,Con,Other,OT
0.17917,28.39583,UZC-FK 1,PEG,"N=3;H 99, R 89",cg
1.325,5.17389,UZC-FK 2,PSC,N=3;,cg
3.275,30.95278,UZC-FK 3,AND,N=3;,cg
3.54167,48.20278,UZC-FK 4,AND,N=4;,cg
5.375,22.47361,UZC-FK 5,AND,N=7;,cg
6.8625,-1.70333,UZC-FK 6,CET,N=3;,cg
7.17917,2.72833,UZC-FK 7,PSC,N=5;,cg
7.85,8.44722,UZC-FK 8,PSC,N=3;H 2,cg
9.84167,0.87861,UZC-FK 9,CET,"N=3;H 7, R 3",cg
10.525,29.61861,UZC-FK 10,AND,N=3;,cg
10.80833,23.49611,UZC-FK 11,AND,N=3;,cg
12.51667,-1.8775,UZC-FK 12,CET,N=3;,cg
12.90833,29.64361,UZC-FK 13,PSC,N=3;,cg
14.45417,30.35278,UZC-FK 14,PSC,N=3;,cg
17.05417,33.25889,UZC-FK 15,PSC,N=4;,cg
17.74167,33.13028,UZC-FK 16,PSC,N=3;,cg
18.1625,-0.31778,UZC-FK 17,CET,N=3;,cg
18.90833,5.29333,UZC-FK 18,PSC,N=3;,cg
18.99583,33.0725,UZC-FK 19,PSC,N=3;,cg
19.05833,46.73944,UZC-FK 20,AND,N=3;R 6,cg
20.22083,1.37389,UZC-FK 21,CET,N=3;,cg
20.29167,40.46861,UZC-FK 22,AND,N=3;,cg
21.0375,33.85778,UZC-FK 23,AND,N=3;,cg
21.33333,14.85833,UZC-FK 24,PSC,N=3;R 9,cg
21.55417,34.71139,UZC-FK 25,AND,"N=4;H 10, R 12",cg
23.47917,-1.06611,UZC-FK 26,CET,N=3;,cg
25.825,4.23389,UZC-FK 27,PSC,N=3;,cg
26.30833,10.48278,UZC-FK 28,PSC,N=4;,cg
27.2125,10.53667,UZC-FK 29,PSC,N=3;,cg
30.07917,24.43556,UZC-FK 30,ARI,N=3;,cg
31.14583,28.81833,UZC-FK 31,TRI,N=3;,cg
31.56667,29.91722,UZC-FK 32,TRI,N=3;,cg
31.90833,2.14472,UZC-FK 33,CET,N=4;H 15,cg
37.17917,-1.19056,UZC-FK 34,CET,N=4;,cg
37.39167,31.52222,UZC-FK 35,TRI,N=3;,cg
38.6125,32.91556,UZC-FK 36,TRI,N=3;,cg
40.88333,32.47778,UZC-FK 37,TRI,N=4;,cg
43.39583,12.965,UZC-FK 38,ARI,N=3;,cg
51.325,40.65889,UZC-FK 39,PER,N=3;,cg
53.57917,39.49861,UZC-FK 40,PER,N=3;,cg
67.67917,0.73,UZC-FK 41,TAU,N=3;,cg
68.6375,73.25528,UZC-FK 42,CAM,N=3;,cg
80.4875,3.43694,UZC-FK 43,ORI,N=3;,cg
82.98333,67.68444,UZC-FK 44,CAM,N=3;,cg
93.6,79.99944,UZC-FK 45,CAM,N=3;,cg
96.2,64.62639,UZC-FK 46,CAM,N=3;,cg
100.26667,50.17306,UZC-FK 47,LYN,N=3;,cg
101.77917,33.595,UZC-FK 48,GEM,N=3;,cg
102.5,25.67056,UZC-FK 49,GEM,N=3;,cg
102.74167,33.48611,UZC-FK 50,GEM,N=5;,cg
103.0125,15.28806,UZC-FK 51,GEM,N=3;,cg
104.65417,45.1075,UZC-FK 52,LYN,N=3;,cg
106.475,50.61556,UZC-FK 53,LYN,N=3;,cg
107.1375,75.37444,UZC-FK 54,CAM,N=3;,cg
107.25833,46.09833,UZC-FK 55,LYN,N=3;,cg
107.96667,71.91861,UZC-FK 56,CAM,N=3;,cg
108.49167,35.25806,UZC-FK 57,GEM,N=3;,cg
109.30417,34.01361,UZC-FK 58,GEM,N=3;,cg
110.72083,58.08417,UZC-FK 59,LYN,N=4;,cg
116.55,57.03889,UZC-FK 60,LYN,N=3;,cg
116.81667,26.94306,UZC-FK 61,GEM,N=4;,cg
117.8625,74.35917,UZC-FK 62,CAM,N=3;,cg
118.74167,14.43167,UZC-FK 63,GEM,N=3;,cg
119.6375,59.11222,UZC-FK 64,LYN,N=3;,cg
120.54167,9.53833,UZC-FK 65,CMI,N=7;,cg
120.6875,61.38278,UZC-FK 66,CAM,N=3;,cg
121.82083,18.80444,UZC-FK 67,CNC,N=3;,cg
123.80833,73.48639,UZC-FK 68,CAM,N=3;,cg
124.88333,21.95444,UZC-FK 69,CNC,N=3;,cg
125.0375,4.64389,UZC-FK 70,HYA,N=3;,cg
125.67083,66.94056,UZC-FK 71,UMA,N=3;,cg
125.75,4.36194,UZC-FK 72,HYA,N=3;,cg
126.75,22.89,UZC-FK 73,CNC,N=3;,cg
128.2125,52.52694,UZC-FK 74,LYN,N=3;,cg
129.075,1.8025,UZC-FK 75,HYA,N=3;,cg
129.57917,19.67861,UZC-FK 76,CNC,N=3;,cg
131.21667,55.02944,UZC-FK 77,UMA,N=4;,cg
131.44167,72.96861,UZC-FK 78,UMA,N=4;,cg
131.7625,13.44639,UZC-FK 79,CNC,N=3;,cg
132.36667,70.19083,UZC-FK 80,UMA,N=3;,cg
133.89583,-3.06861,UZC-FK 81,HYA,N=7;,cg
134.1125,13.20361,UZC-FK 82,CNC,N=3;,cg
134.45417,2.97889,UZC-FK 83,HYA,N=3;,cg
135.56667,3.45944,UZC-FK 84,HYA,N=3;,cg
135.85,13.62722,UZC-FK 85,CNC,N=4;,cg
136.00833,21.97833,UZC-FK 86,CNC,N=3;R 28,cg
136.3,18.34639,UZC-FK 87,CNC,N=6;,cg
136.53333,25.44306,UZC-FK 88,CNC,N=3;,cg
136.71667,41.3525,UZC-FK 89,LYN,N=3;,cg
137.61667,50.40472,UZC-FK 90,UMA,N=3;,cg
138.10417,35.14861,UZC-FK 91,LYN,N=4;R 30,cg
139.2625,20.10694,UZC-FK 92,CNC,N=4;,cg
