trigger,fluence_ch1,err_ch1,fluence_ch2,err_ch2,fluence_ch3,err_ch3,fluence_ch4,err_ch4,peak_flux_64ms,err_flux_64ms,time_flux_64ms,peak_flux_256ms,err_flux_256ms,time_flux_256ms,peak_flux_1024ms,err_flux_1024ms,time_flux_1024ms
105.0,8.685e-07,1.0887e-08,1.3209e-06,1.4368e-08,2.0468e-06,1.7931e-07,1.0321e-06,1.7931e-07,12.761,0.544,3.84,11.857,0.265,3.84,9.937,0.123,4.16
107.0,5.5032e-08,9.8234e-09,5.6918e-08,1.0321e-08,5.9237e-08,2.0034e-08,7.6854e-08,5.499e-07,0.408,0.217,-0.448,0.299,0.108,-0.256,0.2,0.053,0.128
108.0,8.2861e-09,6.0599e-09,1.4947e-08,5.2203e-09,3.1987e-08,1.2363e-08,1.4604e-06,4.2317e-07,0.812,0.238,0.0,0.439,0.107,0.128,0.112,0.048,0.768
109.0,4.4255e-06,3.9649e-08,7.308e-06,4.9525e-08,1.7653e-05,1.2098e-07,2.9537e-05,9.0307e-07,3.777,0.354,34.368,3.62,0.173,34.56,3.35,0.084,35.072
110.0,4.5034e-07,3.6621e-08,4.6726e-07,4.0653e-08,1.7766e-06,1.4014e-07,4.0053e-07,7.0827e-07,0.475,0.218,0.0,0.478,0.107,0.192,0.367,0.052,0.32
111.0,1.111e-06,3.3433e-08,1.8851e-06,4.5079e-08,2.022e-06,8.8778e-08,0.0,4.3962e-07,0.774,0.257,2.624,0.649,0.124,2.816,0.589,0.061,2.88
114.0,6.5931e-07,5.9408e-08,7.019e-07,7.5803e-08,7.2099e-07,1.5653e-07,0.0,1.2035e-06,0.74,0.251,-0.128,0.722,0.122,-0.128,0.516,0.059,0.576
121.0,2.4987e-06,3.9769e-08,2.6381e-06,3.6622e-08,4.7813e-06,1.0211e-07,7.266e-06,1.1075e-06,1.793,0.27,53.888,1.496,0.136,1.984,1.128,0.063,2.304
130.0,3.1859e-06,3.0566e-08,4.885e-06,3.7336e-08,1.3484e-05,1.0646e-07,1.7184e-05,7.932e-07,3.926,0.369,12.096,3.468,0.178,12.16,2.816,0.083,12.224
133.0,7.4327e-07,4.1611e-08,7.47e-07,4.4329e-08,2.4223e-06,1.1826e-07,1.8328e-06,8.1751e-07,0.808,0.242,144.832,0.659,0.118,143.936,0.607,0.059,144.448
138.0,6.7073e-09,2.2032e-09,1.7829e-08,3.0396e-09,5.8935e-08,7.4537e-09,5.276e-08,6.3551e-08,1.107,0.253,0.256,0.722,0.114,0.32,0.364,0.052,0.32
142.0,4.511e-07,1.2951e-08,1.3259e-06,1.7685e-08,4.3792e-06,3.8644e-08,1.4688e-06,1.7783e-07,8.866,0.535,1.28,8.6,0.264,0.576,8.027,0.129,1.344
143.0,5.7236e-06,3.4374e-08,7.5901e-06,4.308e-08,4.562e-05,1.3972e-07,0.00023324,1.2379e-06,52.008,1.426,1.28,47.569,0.682,1.344,37.634,0.301,2.88
148.0,6.3097e-07,1.7111e-08,6.4312e-07,1.4973e-08,8.1738e-07,3.7501e-08,7.0846e-09,2.1302e-07,1.442,0.256,2.304,1.404,0.126,2.496,1.267,0.062,2.816
160.0,5.1678e-07,1.9274e-08,8.3949e-07,1.7863e-08,3.0642e-06,5.3497e-08,4.3976e-07,2.2696e-07,4.21,0.411,13.952,3.0,0.188,15.744,2.584,0.089,13.952
171.0,4.336e-07,3.2945e-08,4.4697e-07,2.7846e-08,7.8429e-07,5.1413e-08,1.7973e-07,2.5061e-07,1.077,0.329,0.704,0.646,0.157,0.768,0.602,0.078,1.472
179.0,2.5648e-07,7.7966e-09,2.7782e-07,9.7845e-09,5.0439e-07,1.9354e-08,7.5724e-08,1.3397e-07,5.249,0.369,1.984,4.736,0.178,2.048,2.5,0.071,2.304
185.0,8.5668e-09,1.3707e-09,8.5117e-09,1.434e-09,3.3879e-08,5.1329e-09,0.0,6.4211e-08,1.583,0.266,0.0,0.729,0.117,0.128,0.165,0.052,0.768
204.0,1.4705e-08,6.5476e-09,5.5198e-08,8.2568e-09,5.3717e-07,2.2567e-08,1.4911e-06,2.2728e-07,0.708,0.233,1.152,0.674,0.114,1.024,0.513,0.056,1.344
206.0,1.2163e-08,4.6723e-09,2.3309e-08,6.3901e-09,9.9594e-08,1.567e-08,4.2165e-07,1.4117e-07,2.161,0.315,0.0,1.659,0.146,0.192,0.566,0.061,0.448
207.0,4.0862e-09,1.8969e-09,8.4507e-09,2.1974e-09,5.8126e-08,6.0817e-09,3.3352e-07,1.1754e-07,2.836,0.371,0.0,1.025,0.151,0.128,0.198,0.067,0.768
211.0,3.6627e-07,2.5008e-08,3.9705e-07,2.7062e-08,7.5491e-07,5.3728e-08,0.0,4.3362e-07,0.7,0.242,2.176,0.507,0.116,2.24,0.466,0.057,2.944
214.0,4.0552e-07,2.2523e-08,4.4031e-07,2.1646e-08,4.1376e-07,5.4889e-08,0.0,3.0986e-07,0.982,0.251,0.0,0.752,0.121,12.48,0.649,0.06,12.544
218.0,1.1181e-08,5.512e-09,3.5093e-08,6.4808e-09,1.2263e-07,1.3115e-08,3.4937e-07,1.2767e-07,0.978,0.246,0.512,0.868,0.12,-0.128,0.665,0.057,0.32
219.0,3.0342e-06,5.3143e-08,4.2219e-06,4.0734e-08,1.0534e-05,8.7486e-08,1.4797e-05,7.2386e-07,20.133,0.637,115.2,18.063,0.302,115.264,13.069,0.13,115.328
222.0,7.8081e-07,2.3233e-08,1.0401e-06,2.5256e-08,2.7646e-06,6.8917e-08,2.5434e-06,5.118e-07,4.538,0.364,68.544,3.99,0.174,68.672,3.005,0.08,68.736
223.0,5.1747e-08,1.1111e-08,6.4875e-08,1.4638e-08,1.6753e-07,3.3177e-08,0.0,2.0308e-07,0.633,0.241,-0.384,0.457,0.117,0.0,0.374,0.057,0.576
226.0,2.1662e-06,4.2974e-08,3.2057e-06,3.4072e-08,9.4294e-06,8.3599e-08,2.4648e-05,1.3041e-06,1.307,0.238,47.232,1.298,0.118,30.4,1.09,0.058,47.232
228.0,1.3305e-07,1.162e-08,1.2437e-07,1.1291e-08,1.7675e-07,2.8765e-08,4.7203e-08,1.5926e-07,1.332,0.265,0.0,1.054,0.129,0.128,0.817,0.062,0.704
229.0,4.4308e-09,1.7163e-09,1.1202e-08,2.4303e-09,5.4209e-08,7.2257e-09,6.6156e-08,6.9113e-08,1.085,0.22,0.0,0.674,0.102,0.192,0.288,0.045,0.448
235.0,1.513e-07,1.6989e-08,2.1635e-07,1.812e-08,9.7628e-07,6.5089e-08,1.6195e-06,3.5283e-07,0.719,0.244,1.536,0.552,0.121,1.664,0.405,0.058,2.432
237.0,6.7389e-08,1.2327e-08,8.2897e-08,1.4072e-08,3.8104e-07,2.7795e-08,3.8164e-07,2.955e-07,0.967,0.252,-0.128,0.825,0.123,-0.064,0.639,0.061,0.768
249.0,6.4429e-06,3.6007e-08,1.2132e-05,3.7487e-08,4.2087e-05,8.5406e-08,8.9605e-05,5.371e-07,35.696,0.814,21.312,34.621,0.403,21.376,31.66,0.19,22.08
254.0,1.1875e-08,1.6056e-08,1.5741e-08,1.4111e-08,1.5703e-07,6.0678e-07,1.0978e-06,6.0678e-07,1.545,0.272,0.0,1.319,0.131,0.064,0.483,0.057,0.512
257.0,7.9986e-07,1.8309e-08,1.2911e-06,2.5601e-08,4.1876e-06,6.2867e-08,3.0458e-05,9.1037e-07,1.866,0.287,1.088,1.711,0.141,1.28,1.493,0.069,1.28
269.0,6.8059e-08,6.2858e-09,1.0496e-07,6.7468e-09,4.0408e-07,2.3767e-08,2.2526e-07,1.4104e-07,1.574,0.251,0.384,1.367,0.125,0.384,1.143,0.06,0.832
288.0,3.0921e-07,2.4349e-08,3.1707e-07,2.1023e-08,5.4802e-07,1.1593e-06,4.2687e-06,1.1593e-06,0.659,0.204,-1.408,0.519,0.101,-1.216,0.397,0.05,-1.024
289.0,5.2673e-10,1.1284e-09,3.6352e-09,1.3682e-09,2.9896e-08,4.6738e-09,6.2825e-08,6.0895e-08,1.607,0.253,-0.128,0.51,0.105,0.0,0.163,0.047,0.256
297.0,1.4867e-08,3.9478e-09,3.3207e-08,3.0735e-09,1.553e-07,7.8882e-09,8.6784e-07,1.0177e-07,2.979,0.316,0.256,2.19,0.142,0.256,0.8,0.055,0.32
298.0,1.3681e-07,5.6766e-09,2.4541e-07,6.5185e-09,1.1921e-06,1.6566e-08,4.7116e-06,1.1955e-07,56.127,1.224,0.0,22.047,0.385,0.128,6.175,0.114,0.704
332.0,5.1098e-07,1.6855e-08,8.879e-07,1.7012e-08,1.9133e-06,5.0136e-08,7.095e-07,3.029e-07,1.238,0.225,3.264,1.188,0.11,3.072,1.127,0.054,3.264
351.0,3.6229e-06,6.4732e-08,3.799e-06,5.7367e-08,9.1375e-06,1.5328e-07,1.8439e-05,1.4465e-06,1.45,0.258,41.792,1.226,0.126,41.92,1.22,0.062,42.24
353.0,4.624e-10,2.9195e-09,2.0149e-08,4.6274e-09,2.8728e-08,1.109e-08,4.0365e-09,6.3873e-08,1.719,0.274,0.0,0.962,0.124,0.192,0.27,0.055,0.32
373.0,3.2774e-09,6.6443e-09,1.0944e-08,8.1095e-09,2.0065e-07,1.7344e-08,6.1125e-08,1.0108e-07,1.089,0.267,0.0,0.644,0.129,0.128,0.523,0.063,0.128
394.0,5.9717e-06,5.6132e-08,6.8778e-06,4.6539e-08,2.434e-05,1.4209e-07,3.4792e-05,1.2239e-06,5.105,0.376,23.232,4.777,0.181,23.296,4.056,0.086,23.616
398.0,6.2871e-07,2.3534e-08,9.1102e-07,2.8172e-08,2.3802e-06,7.1682e-08,2.0301e-06,4.2622e-07,2.031,0.382,0.448,1.714,0.186,0.448,1.536,0.092,1.216
401.0,2.2569e-08,5.9371e-09,4.2382e-08,6.3926e-09,1.0128e-07,2.086e-08,3.3743e-08,1.3858e-07,0.418,0.24,-1.024,0.333,0.115,-1.024,0.24,0.056,-0.512
404.0,7.2018e-07,2.1901e-08,1.001e-06,2.507e-08,1.8912e-06,4.552e-08,1.6119e-06,5.1256e-07,1.218,0.23,34.112,1.006,0.111,34.24,0.827,0.054,34.944
