distance_pc,early_explosion_conf,late_explosion_conf,blackhole_conf,early_status,late_status,bh_status,bruno_verdict
100,0.75,0.67,0.98,⚠️ Uncertain,⚠️ Uncertain,✅ Confirmed,blackhole (✅ Confirmed)
200,1.0,0.0,0.0,✅ Confirmed,❌ No Detection,❌ No Detection,early_explosion (✅ Confirmed)
300,1.0,0.0,0.0,✅ Confirmed,❌ No Detection,❌ No Detection,early_explosion (✅ Confirmed)
400,1.0,0.0,0.0,✅ Confirmed,❌ No Detection,❌ No Detection,early_explosion (✅ Confirmed)
500,1.0,0.0,0.0,✅ Confirmed,❌ No Detection,❌ No Detection,early_explosion (✅ Confirmed)
600,1.0,0.0,0.0,✅ Confirmed,❌ No Detection,❌ No Detection,early_explosion (✅ Confirmed)
700,1.0,0.0,0.0,✅ Confirmed,❌ No Detection,❌ No Detection,early_explosion (✅ Confirmed)
800,1.0,0.0,0.0,✅ Confirmed,❌ No Detection,❌ No Detection,early_explosion (✅ Confirmed)
900,1.0,0.0,0.0,✅ Confirmed,❌ No Detection,❌ No Detection,early_explosion (✅ Confirmed)
1000,1.0,0.0,0.0,✅ Confirmed,❌ No Detection,❌ No Detection,early_explosion (✅ Confirmed)
1100,1.0,0.0,0.0,✅ Confirmed,❌ No Detection,❌ No Detection,early_explosion (✅ Confirmed)
1200,1.0,0.0,0.0,✅ Confirmed,❌ No Detection,❌ No Detection,early_explosion (✅ Confirmed)
1300,1.0,0.0,0.0,✅ Confirmed,❌ No Detection,❌ No Detection,early_explosion (✅ Confirmed)
1400,1.0,0.0,0.0,✅ Confirmed,❌ No Detection,❌ No Detection,early_explosion (✅ Confirmed)
