"FullName","CreationTime"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Chajar Constant","2025-03-25 12:05:29 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Collapse Test 1.1","2025-03-24 11:11:19 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Collapse Test 1.2","2025-03-24 11:32:29 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Collapse Test 1.3","2025-03-24 11:36:35 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Collapse Test 1.4","2025-03-24 11:48:21 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Collapse Test 1.5","2025-03-24 11:54:04 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Collapse Test 1.6","2025-03-24 11:56:57 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Collapse Test 1.7","2025-03-25 12:01:14 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Collapse Test 1.8","2025-03-25 12:13:04 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Collapse Test 1.9","2025-03-25 12:17:02 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Collapse Test 2.1","2025-03-25 12:23:55 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Collapse Test 2.2","2025-03-25 12:29:56 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Energy Temperature 1.0","2025-03-24 12:00:58 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Entropy Energy Template","2025-03-24 11:57:55 AM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Figure 59 Caption","2025-03-24 1:05:45 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Figure 60 Caption","2025-03-24 1:05:45 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Figure_60.png","2025-03-24 1:05:45 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Figure_60_Data.csv","2025-03-24 1:05:45 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Temperature from Entropy 1.0","2025-03-24 12:26:58 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Temperature from Entropy 1.1","2025-03-24 12:30:55 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Temperature from Entropy 2.0","2025-03-24 12:36:36 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Temperature from Entropy 2.1","2025-03-24 12:41:27 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Temperature from Entropy 3","2025-03-24 12:50:54 PM"
"D:\entropy-research-library\entropy-hypothesis\scr\Entropy Energy Temp\Unified Abstract Summary","2025-03-24 1:06:40 PM"
