SN_Name,SN_Time,SN_RA,SN_Dec,GRB_Time,GRB_RA,GRB_Dec,Angular_Sep_deg,GRB_Fluence_J_per_m2,Trigger_ID,Fluence_Total_J_per_m2,Bruno_Class,Time_Delay_s,Entropy_Candidate,mapped_burst_id
GRB 910421,1991-04-21,270.68,24.76,1991-04-21 09:14:03.756,270.68,24.76,0.0,,105.0,5.268300000000001e-07,Below Threshold,33243.756,False,910421
GRB 910423,1991-04-23,193.47,-8.38,1991-04-23 19:54:44.716,193.47,-8.38,0.0,,107.0,2.4804100000000004e-08,Below Threshold,71684.716,False,910423
GRB 910424,1991-04-24,201.31,-45.41,1991-04-24 19:43:26.572,201.31,-45.41,0.0,,108.0,1.5156201e-07,Below Threshold,71006.572,False,910424
GRB 910425A,1991-04-25,91.28999999999998,-22.77,1991-04-25 00:37:45.707,91.29,-22.77,0.0,,109.0,5.89235e-06,Below Threshold,2265.707,False,910425
GRB 910425B,1991-04-25,335.94,25.77,1991-04-25 05:37:33.291,335.94,25.77,0.0,,110.0,3.09473e-07,Below Threshold,20253.291,False,910425B
GRB 910426,1991-04-26,75.82,-19.51,1991-04-26 22:14:06.699,75.82,-19.51,0.0,,111.0,5.018100000000001e-07,Below Threshold,80046.699,False,910426
GRB 910427,1991-04-27,78.85999999999999,-15.59,1991-04-26 22:14:06.699,75.82,-19.51,4.875,,111.0,5.018100000000001e-07,Below Threshold,6353.301,False,910426
GRB 910427,1991-04-27,78.85999999999999,-15.59,1991-04-27 09:05:20.747,78.86,-15.59,0.0,,114.0,2.0822000000000002e-07,Below Threshold,32720.747,False,910427
GRB 910430,1991-04-30,135.8,2.73,1991-04-30 17:08:39.147,135.8,2.73,0.0,,130.0,3.87389e-06,Below Threshold,61719.147,False,910430
GRB 910501,1991-05-01,126.53999999999998,-0.23,1991-05-01 08:20:14.059,126.54,-0.23,0.0,,133.0,5.745370000000001e-07,Below Threshold,30014.059,False,910501
GRB 910503,1991-05-03,87.44999999999999,38.74,1991-05-03 07:04:12.651,87.45,38.74,0.0,,143.0,2.9217370000000004e-05,Above Threshold,25452.651,True,910503
GRB 910507,1991-05-07,299.54999999999995,-44.88,1991-05-07 14:31:15.819,299.55,-44.88,0.0,,160.0,4.86023e-07,Below Threshold,52275.819,False,910507
GRB 910509,1991-05-09,339.24999999999994,38.26,1991-05-09 03:03:30.667,339.25,38.26,0.0,,171.0,1.8445900000000002e-07,Below Threshold,11010.667,False,910509
GRB 910511,1991-05-11,266.48,58.3,1991-05-11 02:11:47.691,266.48,58.3,0.0,,179.0,1.1144140000000001e-07,Below Threshold,7907.691,False,910511
GRB 910517A,1991-05-17,113.57999999999998,49.17,1991-05-17 10:48:47.211,113.58,49.17,0.0,,204.0,2.098173e-07,Below Threshold,38927.211,False,910517B
GRB 910518B,1991-05-18,249.02,-11.77,1991-05-18 14:55:25.803,249.02,-11.77,0.0,,211.0,1.5182300000000002e-07,Below Threshold,53725.803,False,910518B
GRB 910521A,1991-05-21,108.92999999999998,-33.75,1991-05-21 05:14:37.099,108.93,-33.75,0.0,,214.0,1.25959e-07,Below Threshold,18877.099,False,910521B
GRB 910522,1991-05-22,137.71999999999997,-50.89,1991-05-22 12:12:09.707,137.72,-50.89,0.0,,219.0,3.25871e-06,Below Threshold,43929.707,False,910522
GRB 910523A,1991-05-23,106.98999999999998,0.3611111111111111,1991-05-23 19:03:24.523,106.99,0.36,0.001,,222.0,7.128910000000001e-07,Below Threshold,68604.523,False,910523
GRB 910523B,1991-05-23,352.9599999999999,24.89,1991-05-23 23:38:49.067,352.96,24.89,0.0,,223.0,2.8415200000000004e-08,Below Threshold,85129.067,False,910523B
GRB 910525,1991-05-25,216.03,-62.82,1991-05-25 19:26:27.947,216.03,-62.82,0.0,,226.0,3.9449300000000005e-06,Below Threshold,69987.947,False,910525
GRB 910528,1991-05-28,240.59,43.97,1991-05-28 21:26:55.339,240.59,43.97,0.0,,235.0,2.96343e-07,Below Threshold,77215.339,False,910528
GRB 910529,1991-05-29,205.43,-27.4,1991-05-29 17:36:00.875,205.43,-27.4,0.0,,237.0,9.12966e-08,Below Threshold,63360.875,False,910529
GRB 910601,1991-06-01,310.11999999999995,32.34,1991-06-01 19:22:14.507,310.12,32.34,0.0,,249.0,1.5026690000000002e-05,Above Threshold,69734.507,False,910601
GRB 910602B,1991-06-02,142.76000000000002,53.99,1991-06-02 22:55:01.035,142.76,53.99,0.0,,257.0,3.673656e-06,Below Threshold,82501.035,False,910602
GRB 910607A,1991-06-07,78.75999999999999,-9.36,1991-06-07 00:12:07.659,78.76,-9.36,0.0,,288.0,5.443e-07,Below Threshold,727.659,False,910607B
GRB 910612,1991-06-12,337.06999999999994,15.42,1991-06-12 08:49:15.883,337.07,15.42,0.0,,332.0,4.021680000000001e-07,Below Threshold,31755.883,False,910612
GRB 910614A,1991-06-14,174.74999999999997,-12.95,1991-06-14 01:54:24.491,174.75,-12.95,0.0,,351.0,3.49984e-06,Below Threshold,6864.491,False,910614B
GRB 910619,1991-06-19,21.17,-36.57,1991-06-19 14:14:32.811,21.17,-36.57,0.0,,394.0,7.19815e-06,Below Threshold,51272.811,False,910619
GRB 910620A,1991-06-20,67.91999999999999,22.5,1991-06-20 05:37:30.411,67.92,22.5,0.0,,398.0,5.95003e-07,Below Threshold,20250.411,False,910620
GRB 910620B,1991-06-20,65.80999999999999,65.97,1991-06-20 18:22:48.427,65.81,65.97,0.0,,401.0,1.99974e-08,Below Threshold,66168.427,False,910620B
GRB 910621A,1991-06-21,326.86999999999995,-8.44,1991-06-21 01:57:17.547,326.87,-8.44,0.0,,404.0,5.22428e-07,Below Threshold,7037.547,False,910621B
GRB 910621B,1991-06-21,226.92,-12.44,1991-06-21 16:16:44.907,226.92,-12.44,0.0,,408.0,6.440070000000001e-07,Below Threshold,58604.907,False,910621
GRB 910622,1991-06-22,8.458333333333332,-32.8,1991-06-22 16:34:03.499,8.46,-32.8,0.001,,414.0,5.95712e-08,Below Threshold,59643.499,False,910622
