Run_Event_ID,Revision,Date_UTC,Time_UTC,Alert_Type,RA_deg,Dec_deg,Error90_arcmin,Error50_arcmin,Energy_TeV,Signalness,FAR_per_year,Notes
135363_69917294,1,21/06/08,03:41:00.97,BRONZE,337.41,18.37,352.79,161.39,105.17,0.3147,3.0747,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
135363_69917294,0,21/06/08,03:41:00.97,BRONZE,337.0182,18.647,78.35,30.52,105.17,0.3147,3.0747,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
135302_36915486,0,21/05/19,20:40:02.93,BRONZE,167.6902,-25.8725,129.06,36.18,320.04,0.33167,0.9669,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
135292_56063172,1,21/05/16,14:38:20.33,BRONZE,91.76,9.5199,46.8,25.79,109.12,0.2886,3.0988,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
135292_56063172,0,21/05/16,14:38:20.33,BRONZE,91.8213,9.7002,30.8,12.0,109.12,0.2886,3.0988,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
135270_69188496,0,21/05/10,04:50:10.73,BRONZE,267.9106,4.0004,30.8,12.0,113.03,0.28151,3.9437,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
135113_19489408,0,21/03/22,02:34:09.17,BRONZE,85.5066,-44.7217,39.13,14.09,54.853,0.45899,1.3823,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134994_1103075,0,21/02/13,18:40:24.51,GOLD,155.2582,-35.3994,71.4,22.94,1450.4,0.6073,0.4362,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134979_17138286,1,21/02/10,11:53:55.64,GOLD,206.06,4.78,52.8,31.8,287.41,0.65464,0.4645,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134979_17138286,0,21/02/10,11:53:55.64,GOLD,206.1922,4.7734,30.8,12.0,287.41,0.65464,0.4645,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134818_73718836,1,20/12/22,00:56:16.14,GOLD,206.37,13.4399,39.6,22.19,185.78,0.5337,1.0081,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134818_73718836,0,20/12/22,00:56:16.14,GOLD,206.6403,13.4825,30.8,12.0,185.78,0.5337,1.0081,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134817_29175858,1,20/12/21,12:36:53.45,GOLD,261.6899,41.81,109.2,61.2,174.54,0.56429,0.1472,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134817_29175858,0,20/12/21,12:36:53.45,GOLD,262.5451,41.4062,62.12,24.2,174.54,0.56429,0.1472,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134777_8912764,1,20/12/09,10:15:43.94,GOLD,6.86,-9.25,65.4,38.4,418.6,0.19226,0.7698,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134777_8912764,0,20/12/09,10:15:43.94,GOLD,6.401,-10.0181,35.26,13.73,418.6,0.19226,0.7698,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134751_31476488,1,20/11/30,20:21:46.47,GOLD,30.5399,-12.0999,70.79,41.39,203.47,0.14696,1.3222,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134751_31476488,0,20/11/30,20:21:46.47,GOLD,30.495,-11.6137,42.65,16.61,203.47,0.14696,1.3222,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134715_65785778,1,20/11/20,09:44:40.55,BRONZE,307.5299,40.77,280.79,158.4,153.96,0.50338,0.2947,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134715_65785778,0,20/11/20,09:44:40.55,BRONZE,307.8471,40.1903,30.8,12.0,153.96,0.50338,0.2947,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134701_49508272,0,20/11/15,16:01:42.96,GOLD,148.7519,-21.6418,51.89,20.21,26182.0,0.49261,0.0681,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134699_70289682,1,20/11/15,02:07:26.21,GOLD,195.12,1.3799,77.4,42.59,177.38,0.45973,1.5226,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134699_70289682,0,20/11/15,02:07:26.21,GOLD,193.7576,1.2903,30.8,12.0,177.38,0.45973,1.5226,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134698_40735501,1,20/11/14,15:05:31.96,GOLD,105.25,6.0499,64.8,34.19,214.29,0.56208,0.9232,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134698_40735501,0,20/11/14,15:05:31.96,GOLD,104.6881,5.9423,30.8,12.0,214.29,0.56208,0.9232,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134621_31008065,2,20/10/21,06:37:47.48,BRONZE,260.8199,14.55,82.79,49.19,105.27,0.29662,2.9868,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134621_31008065,1,20/10/21,06:37:47.48,BRONZE,260.92,14.55,82.79,49.19,105.27,0.29662,2.9868,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134621_31008065,0,20/10/21,06:37:47.48,BRONZE,260.689,14.6529,30.8,12.0,105.27,0.29662,2.9868,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134599_66310113,1,20/10/14,02:13:27.53,BRONZE,221.2199,14.4399,50.39,31.2,146.93,0.41371,1.7069,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134599_66310113,0,20/10/14,02:13:27.53,BRONZE,220.3816,14.4172,40.81,15.89,146.93,0.41371,1.7069,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134577_31638233,1,20/10/07,22:01:49.28,GOLD,265.17,5.3399,24.0,13.8,682.65,0.88552,0.2624,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134577_31638233,0,20/10/07,22:01:49.28,GOLD,265.058,5.382,30.8,12.0,682.65,0.88552,0.2624,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134552_68615710,1,20/09/29,17:48:36.83,GOLD,29.5199,3.47,31.8,24.0,182.89,0.47479,1.4109,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134552_68615710,0,20/09/29,17:48:36.83,GOLD,29.0479,3.081,30.8,12.0,182.89,0.47479,1.4109,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134535_41069485,1,20/09/26,22:35:29.22,BRONZE,184.75,32.9299,108.6,66.6,121.42,0.43381,1.29,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134535_41069485,0,20/09/26,22:35:29.22,BRONZE,188.799,32.069,30.8,12.0,121.42,0.43381,1.29,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134533_53384881,1,20/09/26,07:54:11.62,GOLD,96.4599,-4.33,39.6,23.4,670.5,0.44137,0.5363,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134533_53384881,0,20/09/26,07:54:11.62,GOLD,96.5731,-4.2048,30.8,12.0,670.5,0.44137,0.5363,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134512_71996695,1,20/09/21,19:07:12.89,BRONZE,195.2899,26.2399,170.39,64.2,117.17,0.40945,1.5853,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134512_71996695,0,20/09/21,19:07:12.89,BRONZE,195.1971,26.4296,30.8,12.0,117.17,0.40945,1.5853,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134498_12605830,1,20/09/16,20:40:30.95,BRONZE,109.78,14.3599,63.6,34.79,110.48,0.32226,2.4826,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134498_12605830,0,20/09/16,20:40:30.95,BRONZE,109.4019,14.3487,39.35,15.32,110.48,0.32226,2.4826,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134482_27754576,1,20/09/11,14:19:46.23,BRONZE,51.1099,38.1099,296.4,93.6,110.79,0.40813,0.9681,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
