# Data for different parent isotopes separated by empty lines
# Column values are:
# [1] - neutrino energy (MeV)
# [2] - capture luminosity (1/MeV/s)
# [3] - decay luminosity (1/MeV/s)


#	h1-->neut	tau_cc (hr) = 0
#	energy (MeV)	capture (MeV^-1 s^-1)	decay (MeV^-1 s^-1)
0.00	0.00000000e+00	0.00000000e+00
0.10	1.86058335e+51	0.00000000e+00
0.20	7.54420872e+51	0.00000000e+00
0.30	1.71124799e+52	0.00000000e+00
0.40	3.05262121e+52	0.00000000e+00
0.50	4.76687063e+52	0.00000000e+00
0.60	6.83648891e+52	0.00000000e+00
0.70	9.23962313e+52	0.00000000e+00
0.80	1.19511929e+53	0.00000000e+00
0.90	1.49437071e+53	0.00000000e+00
1.00	1.81878516e+53	0.00000000e+00
1.10	2.16529104e+53	0.00000000e+00
1.20	2.53070713e+53	0.00000000e+00
1.30	2.91176571e+53	0.00000000e+00
1.40	3.30513121e+53	0.00000000e+00
1.50	3.70741661e+53	0.00000000e+00
1.60	4.11520004e+53	0.00000000e+00
1.70	4.52504233e+53	0.00000000e+00
1.80	4.93350679e+53	0.00000000e+00
1.90	5.33718192e+53	0.00000000e+00
2.00	5.73270711e+53	0.00000000e+00
2.10	6.11680098e+53	0.00000000e+00
2.20	6.48629197e+53	0.00000000e+00
2.30	6.83815058e+53	0.00000000e+00
2.40	7.16952137e+53	0.00000000e+00
2.50	7.47775532e+53	0.00000000e+00
2.60	7.76043965e+53	0.00000000e+00
2.70	8.01542590e+53	0.00000000e+00
2.80	8.24085483e+53	0.00000000e+00
2.90	8.43517781e+53	0.00000000e+00
3.00	8.59717394e+53	0.00000000e+00
3.10	8.72596354e+53	0.00000000e+00
3.20	8.82101663e+53	0.00000000e+00
3.30	8.88215648e+53	0.00000000e+00
3.40	8.90955818e+53	0.00000000e+00
3.50	8.90374201e+53	0.00000000e+00
3.60	8.86556071e+53	0.00000000e+00
3.70	8.79618140e+53	0.00000000e+00
3.80	8.69706299e+53	0.00000000e+00
3.90	8.56992727e+53	0.00000000e+00
4.00	8.41672655e+53	0.00000000e+00
4.10	8.23960780e+53	0.00000000e+00
4.20	8.04087372e+53	0.00000000e+00
4.30	7.82294134e+53	0.00000000e+00
4.40	7.58830258e+53	0.00000000e+00
4.50	7.33948190e+53	0.00000000e+00
4.60	7.07899801e+53	0.00000000e+00
4.70	6.80932621e+53	0.00000000e+00
4.80	6.53286488e+53	0.00000000e+00
4.90	6.25190512e+53	0.00000000e+00
5.00	5.96860463e+53	0.00000000e+00
5.10	5.68496739e+53	0.00000000e+00
5.20	5.40282676e+53	0.00000000e+00
5.30	5.12383462e+53	0.00000000e+00
5.40	4.84945514e+53	0.00000000e+00
5.50	4.58096262e+53	0.00000000e+00
5.60	4.31944413e+53	0.00000000e+00
5.70	4.06580510e+53	0.00000000e+00
5.80	3.82077833e+53	0.00000000e+00
5.90	3.58493496e+53	0.00000000e+00
6.00	3.35869707e+53	0.00000000e+00
6.10	3.14235176e+53	0.00000000e+00
6.20	2.93606517e+53	0.00000000e+00
6.30	2.73989701e+53	0.00000000e+00
6.40	2.55381480e+53	0.00000000e+00
6.50	2.37770686e+53	0.00000000e+00
6.60	2.21139539e+53	0.00000000e+00
6.70	2.05464779e+53	0.00000000e+00
6.80	1.90718750e+53	0.00000000e+00
6.90	1.76870328e+53	0.00000000e+00
7.00	1.63885785e+53	0.00000000e+00
7.10	1.51729509e+53	0.00000000e+00
7.20	1.40364656e+53	0.00000000e+00
7.30	1.29753687e+53	0.00000000e+00
7.40	1.19858839e+53	0.00000000e+00
7.50	1.10642509e+53	0.00000000e+00
7.60	1.02067570e+53	0.00000000e+00
7.70	9.40976348e+52	0.00000000e+00
7.80	8.66972628e+52	0.00000000e+00
7.90	7.98321161e+52	0.00000000e+00
8.00	7.34690897e+52	0.00000000e+00
8.10	6.75763894e+52	0.00000000e+00
8.20	6.21236032e+52	0.00000000e+00
8.30	5.70817251e+52	0.00000000e+00
8.40	5.24231824e+52	0.00000000e+00
8.50	4.81218252e+52	0.00000000e+00
8.60	4.41529197e+52	0.00000000e+00
8.70	4.04931192e+52	0.00000000e+00
8.80	3.71204319e+52	0.00000000e+00
8.90	3.40141792e+52	0.00000000e+00
9.00	3.11549524e+52	0.00000000e+00
9.10	2.85245620e+52	0.00000000e+00
9.20	2.61059872e+52	0.00000000e+00
9.30	2.38833211e+52	0.00000000e+00
9.40	2.18417184e+52	0.00000000e+00
9.50	1.99673399e+52	0.00000000e+00
9.60	1.82473002e+52	0.00000000e+00
9.70	1.66696131e+52	0.00000000e+00
9.80	1.52231416e+52	0.00000000e+00
9.90	1.38975464e+52	0.00000000e+00
10.00	1.26832385e+52	0.00000000e+00
10.10	1.15713315e+52	0.00000000e+00
10.20	1.05535973e+52	0.00000000e+00
10.30	9.62242372e+51	0.00000000e+00
10.40	8.77077270e+51	0.00000000e+00
10.50	7.99214273e+51	0.00000000e+00
10.60	7.28053132e+51	0.00000000e+00
10.70	6.63040086e+51	0.00000000e+00
10.80	6.03664553e+51	0.00000000e+00
10.90	5.49456093e+51	0.00000000e+00
11.00	4.99981467e+51	0.00000000e+00
11.10	4.54841976e+51	0.00000000e+00
11.20	4.13670838e+51	0.00000000e+00
11.30	3.76130911e+51	0.00000000e+00
11.40	3.41912364e+51	0.00000000e+00
11.50	3.10730670e+51	0.00000000e+00
11.60	2.82324648e+51	0.00000000e+00
11.70	2.56454668e+51	0.00000000e+00
11.80	2.32900953e+51	0.00000000e+00
11.90	2.11462062e+51	0.00000000e+00
12.00	1.91953409e+51	0.00000000e+00
12.10	1.74205935e+51	0.00000000e+00
12.20	1.58064878e+51	0.00000000e+00
12.30	1.43388606e+51	0.00000000e+00
12.40	1.30047558e+51	0.00000000e+00
12.50	1.17923268e+51	0.00000000e+00
12.60	1.06907446e+51	0.00000000e+00
12.70	9.69011476e+50	0.00000000e+00
12.80	8.78139966e+50	0.00000000e+00
12.90	7.95634731e+50	0.00000000e+00
13.00	7.20742556e+50	0.00000000e+00
13.10	6.52776173e+50	0.00000000e+00
13.20	5.91108673e+50	0.00000000e+00
13.30	5.35168417e+50	0.00000000e+00
13.40	4.84434313e+50	0.00000000e+00
13.50	4.38431480e+50	0.00000000e+00
13.60	3.96727311e+50	0.00000000e+00
13.70	3.58927790e+50	0.00000000e+00
13.80	3.24674189e+50	0.00000000e+00
13.90	2.93639981e+50	0.00000000e+00
14.00	2.65528029e+50	0.00000000e+00
14.10	2.40068026e+50	0.00000000e+00
14.20	2.17014138e+50	0.00000000e+00
14.30	1.96142832e+50	0.00000000e+00
14.40	1.77250925e+50	0.00000000e+00
14.50	1.60153762e+50	0.00000000e+00
14.60	1.44683587e+50	0.00000000e+00
14.70	1.30688015e+50	0.00000000e+00
14.80	1.18028664e+50	0.00000000e+00
14.90	1.06579901e+50	0.00000000e+00
15.00	9.62276894e+49	0.00000000e+00
15.10	8.68685455e+49	0.00000000e+00
15.20	7.84085802e+49	0.00000000e+00
15.30	7.07626304e+49	0.00000000e+00
15.40	6.38534629e+49	0.00000000e+00
15.50	5.76110529e+49	0.00000000e+00
15.60	5.19719231e+49	0.00000000e+00
15.70	4.68785424e+49	0.00000000e+00
15.80	4.22787832e+49	0.00000000e+00
15.90	3.81254186e+49	0.00000000e+00
