# Data for different parent isotopes separated by empty lines
# Column values are:
# [1] - neutrino energy (MeV)
# [2] - capture luminosity (1/MeV/s)
# [3] - decay luminosity (1/MeV/s)


#	h1-->neut	tau_cc (hr) = 0.00013053
#	energy (MeV)	capture (MeV^-1 s^-1)	decay (MeV^-1 s^-1)
0.00	0.00000000e+00	0.00000000e+00
0.10	3.40604919e+50	0.00000000e+00
0.20	1.36647504e+51	0.00000000e+00
0.30	3.05601235e+51	0.00000000e+00
0.40	5.35733027e+51	0.00000000e+00
0.50	8.19671349e+51	0.00000000e+00
0.60	1.14864939e+52	0.00000000e+00
0.70	1.51317456e+52	0.00000000e+00
0.80	1.90355542e+52	0.00000000e+00
0.90	2.31028823e+52	0.00000000e+00
1.00	2.72432170e+52	0.00000000e+00
1.10	3.13722617e+52	0.00000000e+00
1.20	3.54129410e+52	0.00000000e+00
1.30	3.92959548e+52	0.00000000e+00
1.40	4.29600612e+52	0.00000000e+00
1.50	4.63522190e+52	0.00000000e+00
1.60	4.94276525e+52	0.00000000e+00
1.70	5.21498828e+52	0.00000000e+00
1.80	5.44907146e+52	0.00000000e+00
1.90	5.64301791e+52	0.00000000e+00
2.00	5.79563971e+52	0.00000000e+00
2.10	5.90653339e+52	0.00000000e+00
2.20	5.97604453e+52	0.00000000e+00
2.30	6.00521727e+52	0.00000000e+00
2.40	5.99573116e+52	0.00000000e+00
2.50	5.94982462e+52	0.00000000e+00
2.60	5.87020815e+52	0.00000000e+00
2.70	5.75996900e+52	0.00000000e+00
2.80	5.62247183e+52	0.00000000e+00
2.90	5.46125818e+52	0.00000000e+00
3.00	5.27994957e+52	0.00000000e+00
3.10	5.08215619e+52	0.00000000e+00
3.20	4.87139571e+52	0.00000000e+00
3.30	4.65102365e+52	0.00000000e+00
3.40	4.42417687e+52	0.00000000e+00
3.50	4.19373094e+52	0.00000000e+00
3.60	3.96227160e+52	0.00000000e+00
3.70	3.73207867e+52	0.00000000e+00
3.80	3.50512180e+52	0.00000000e+00
3.90	3.28306576e+52	0.00000000e+00
4.00	3.06728347e+52	0.00000000e+00
4.10	2.85887503e+52	0.00000000e+00
4.20	2.65869040e+52	0.00000000e+00
4.30	2.46735472e+52	0.00000000e+00
4.40	2.28529423e+52	0.00000000e+00
4.50	2.11276245e+52	0.00000000e+00
4.60	1.94986498e+52	0.00000000e+00
4.70	1.79658317e+52	0.00000000e+00
4.80	1.65279553e+52	0.00000000e+00
4.90	1.51829731e+52	0.00000000e+00
5.00	1.39281780e+52	0.00000000e+00
5.10	1.27603552e+52	0.00000000e+00
5.20	1.16759135e+52	0.00000000e+00
5.30	1.06709975e+52	0.00000000e+00
5.40	9.74158349e+51	0.00000000e+00
5.50	8.88355761e+51	0.00000000e+00
5.60	8.09278266e+51	0.00000000e+00
5.70	7.36515026e+51	0.00000000e+00
5.80	6.69662431e+51	0.00000000e+00
5.90	6.08327399e+51	0.00000000e+00
6.00	5.52129962e+51	0.00000000e+00
6.10	5.00705181e+51	0.00000000e+00
6.20	4.53704488e+51	0.00000000e+00
6.30	4.10796573e+51	0.00000000e+00
6.40	3.71667886e+51	0.00000000e+00
6.50	3.36022823e+51	0.00000000e+00
6.60	3.03583667e+51	0.00000000e+00
6.70	2.74090318e+51	0.00000000e+00
6.80	2.47299871e+51	0.00000000e+00
6.90	2.22986057e+51	0.00000000e+00
7.00	2.00938623e+51	0.00000000e+00
7.10	1.80962624e+51	0.00000000e+00
7.20	1.62877665e+51	0.00000000e+00
7.30	1.46517155e+51	0.00000000e+00
7.40	1.31727503e+51	0.00000000e+00
7.50	1.18367349e+51	0.00000000e+00
7.60	1.06306796e+51	0.00000000e+00
7.70	9.54266446e+50	0.00000000e+00
7.80	8.56176765e+50	0.00000000e+00
7.90	7.67799411e+50	0.00000000e+00
8.00	6.88220884e+50	0.00000000e+00
8.10	6.16607236e+50	0.00000000e+00
8.20	5.52198040e+50	0.00000000e+00
8.30	4.94300645e+50	0.00000000e+00
8.40	4.42284766e+50	0.00000000e+00
8.50	3.95577453e+50	0.00000000e+00
8.60	3.53658355e+50	0.00000000e+00
8.70	3.16055336e+50	0.00000000e+00
8.80	2.82340353e+50	0.00000000e+00
8.90	2.52125684e+50	0.00000000e+00
9.00	2.25060412e+50	0.00000000e+00
9.10	2.00827159e+50	0.00000000e+00
9.20	1.79139118e+50	0.00000000e+00
9.30	1.59737286e+50	0.00000000e+00
9.40	1.42387928e+50	0.00000000e+00
9.50	1.26880260e+50	0.00000000e+00
9.60	1.13024323e+50	0.00000000e+00
9.70	1.00649023e+50	0.00000000e+00
9.80	8.96003614e+49	0.00000000e+00
9.90	7.97398088e+49	0.00000000e+00
10.00	7.09428200e+49	0.00000000e+00
10.10	6.30974838e+49	0.00000000e+00
10.20	5.61033025e+49	0.00000000e+00
10.30	4.98700706e+49	0.00000000e+00
10.40	4.43168639e+49	0.00000000e+00
10.50	3.93711209e+49	0.00000000e+00
10.60	3.49678118e+49	0.00000000e+00
10.70	3.10486820e+49	0.00000000e+00
10.80	2.75615723e+49	0.00000000e+00
10.90	2.44598021e+49	0.00000000e+00
