# Data for different parent isotopes separated by empty lines
# Column values are:
# [1] - neutrino energy (MeV)
# [2] - capture luminosity (1/MeV/s)
# [3] - decay luminosity (1/MeV/s)


#	h1-->neut	tau_cc (hr) = 1.482
#	energy (MeV)	capture (MeV^-1 s^-1)	decay (MeV^-1 s^-1)
0.00	0.00000000e+00	0.00000000e+00
0.10	2.06367840e+47	0.00000000e+00
0.20	7.46146850e+47	0.00000000e+00
0.30	1.48998524e+48	0.00000000e+00
0.40	2.31418327e+48	0.00000000e+00
0.50	3.11681959e+48	0.00000000e+00
0.60	3.82467597e+48	0.00000000e+00
0.70	4.39326960e+48	0.00000000e+00
0.80	4.80277264e+48	0.00000000e+00
0.90	5.05218030e+48	0.00000000e+00
1.00	5.15334312e+48	0.00000000e+00
1.10	5.12576139e+48	0.00000000e+00
1.20	4.99250401e+48	0.00000000e+00
1.30	4.77727738e+48	0.00000000e+00
1.40	4.50249968e+48	0.00000000e+00
1.50	4.18817214e+48	0.00000000e+00
1.60	3.85133712e+48	0.00000000e+00
1.70	3.50594140e+48	0.00000000e+00
1.80	3.16296002e+48	0.00000000e+00
1.90	2.83067218e+48	0.00000000e+00
2.00	2.51501284e+48	0.00000000e+00
2.10	2.21994787e+48	0.00000000e+00
2.20	1.94783925e+48	0.00000000e+00
2.30	1.69978157e+48	0.00000000e+00
2.40	1.47589871e+48	0.00000000e+00
2.50	1.27559755e+48	0.00000000e+00
2.60	1.09777915e+48	0.00000000e+00
2.70	9.41009882e+47	0.00000000e+00
2.80	8.03657002e+47	0.00000000e+00
2.90	6.83993184e+47	0.00000000e+00
3.00	5.80274998e+47	0.00000000e+00
3.10	4.90799751e+47	0.00000000e+00
3.20	4.13944863e+47	0.00000000e+00
3.30	3.48193442e+47	0.00000000e+00
3.40	2.92149157e+47	0.00000000e+00
3.50	2.44542954e+47	0.00000000e+00
3.60	2.04233869e+47	0.00000000e+00
3.70	1.70205546e+47	0.00000000e+00
3.80	1.41559925e+47	0.00000000e+00
3.90	1.17509081e+47	0.00000000e+00
4.00	9.73660761e+46	0.00000000e+00
4.10	8.05353986e+46	0.00000000e+00
4.20	6.65034294e+46	0.00000000e+00
4.30	5.48292327e+46	0.00000000e+00
4.40	4.51358728e+46	0.00000000e+00
4.50	3.71023796e+46	0.00000000e+00
4.60	3.04564163e+46	0.00000000e+00
4.70	2.49676802e+46	0.00000000e+00
4.80	2.04420126e+46	0.00000000e+00
4.90	1.67161968e+46	0.00000000e+00
5.00	1.36533961e+46	0.00000000e+00
5.10	1.11391771e+46	0.00000000e+00
5.20	9.07806846e+45	0.00000000e+00
5.30	7.39059511e+45	0.00000000e+00
5.40	6.01073688e+45	0.00000000e+00
5.50	4.88375898e+45	0.00000000e+00
5.60	3.96436794e+45	0.00000000e+00
5.70	3.21514947e+45	0.00000000e+00
5.80	2.60525004e+45	0.00000000e+00
5.90	2.10926691e+45	0.00000000e+00
6.00	1.70631735e+45	0.00000000e+00
6.10	1.37925908e+45	0.00000000e+00
6.20	1.11404001e+45	0.00000000e+00
6.30	8.99156301e+44	0.00000000e+00
6.40	7.25202279e+44	0.00000000e+00
6.50	5.84497067e+44	0.00000000e+00
6.60	4.70775579e+44	0.00000000e+00
6.70	3.78933265e+44	0.00000000e+00
6.80	3.04815589e+44	0.00000000e+00
6.90	2.45044699e+44	0.00000000e+00
7.00	1.96876945e+44	0.00000000e+00
7.10	1.58085931e+44	0.00000000e+00
7.20	1.26866653e+44	0.00000000e+00
7.30	1.01757034e+44	0.00000000e+00
7.40	8.15737874e+43	0.00000000e+00
7.50	6.53600393e+43	0.00000000e+00
7.60	5.23426259e+43	0.00000000e+00
7.70	4.18972974e+43	0.00000000e+00
7.80	3.35204148e+43	0.00000000e+00
7.90	2.68059366e+43	0.00000000e+00
8.00	2.14267337e+43	0.00000000e+00
8.10	1.71194303e+43	0.00000000e+00
8.20	1.36721171e+43	0.00000000e+00
8.30	1.09144026e+43	0.00000000e+00
8.40	8.70936206e+42	0.00000000e+00
8.50	6.94703034e+42	0.00000000e+00
8.60	5.53914383e+42	0.00000000e+00
8.70	4.41489816e+42	0.00000000e+00
8.80	3.51752496e+42	0.00000000e+00
8.90	2.80153379e+42	0.00000000e+00
9.00	2.23049019e+42	0.00000000e+00
9.10	1.77522755e+42	0.00000000e+00
9.20	1.41240863e+42	0.00000000e+00
9.30	1.12336934e+42	0.00000000e+00
9.40	8.93189905e+41	0.00000000e+00
9.50	7.09948951e+41	0.00000000e+00
9.60	5.64125165e+41	0.00000000e+00
9.70	4.48117305e+41	0.00000000e+00
9.80	3.55859548e+41	0.00000000e+00
9.90	2.82513289e+41	0.00000000e+00
10.00	2.24220386e+41	0.00000000e+00
10.10	1.77905674e+41	0.00000000e+00
10.20	1.41118980e+41	0.00000000e+00
10.30	1.11908837e+41	0.00000000e+00
10.40	8.87215159e+40	0.00000000e+00
10.50	7.03204095e+40	0.00000000e+00
10.60	5.57216374e+40	0.00000000e+00
10.70	4.41426610e+40	0.00000000e+00
10.80	3.49612823e+40	0.00000000e+00
10.90	2.76829528e+40	0.00000000e+00
11.00	2.19147048e+40	0.00000000e+00
11.10	1.73443838e+40	0.00000000e+00
11.20	1.37241040e+40	0.00000000e+00
11.30	1.08570739e+40	0.00000000e+00
11.40	8.58710935e+39	0.00000000e+00
11.50	6.79028953e+39	0.00000000e+00
11.60	5.36831920e+39	0.00000000e+00
11.70	4.24325104e+39	0.00000000e+00
11.80	3.35328938e+39	0.00000000e+00
11.90	2.64945643e+39	0.00000000e+00
12.00	2.09294324e+39	0.00000000e+00
12.10	1.65300624e+39	0.00000000e+00
12.20	1.30529691e+39	0.00000000e+00
12.30	1.03053628e+39	0.00000000e+00
12.40	8.13462912e+38	0.00000000e+00
12.50	6.41998530e+38	0.00000000e+00
12.60	5.06586245e+38	0.00000000e+00
12.70	3.99665888e+38	0.00000000e+00
12.80	3.15258144e+38	0.00000000e+00
12.90	2.48635011e+38	0.00000000e+00
13.00	1.96058708e+38	0.00000000e+00
13.10	1.54574915e+38	0.00000000e+00
13.20	1.21849016e+38	0.00000000e+00
13.30	9.60364805e+37	0.00000000e+00
13.40	7.56802787e+37	0.00000000e+00
13.50	5.96296828e+37	0.00000000e+00
13.60	4.69760592e+37	0.00000000e+00
13.70	3.70020642e+37	0.00000000e+00
13.80	2.91414784e+37	0.00000000e+00
13.90	2.29474489e+37	0.00000000e+00
14.00	1.80673874e+37	0.00000000e+00
14.10	1.42231346e+37	0.00000000e+00
14.20	1.11952860e+37	0.00000000e+00
14.30	8.81081006e+36	0.00000000e+00
14.40	6.93326962e+36	0.00000000e+00
14.50	5.45510089e+36	0.00000000e+00
14.60	4.29151596e+36	0.00000000e+00
14.70	3.37569129e+36	0.00000000e+00
14.80	2.65496950e+36	0.00000000e+00
14.90	2.08786268e+36	0.00000000e+00
15.00	1.64168811e+36	0.00000000e+00
15.10	1.29070334e+36	0.00000000e+00
15.20	1.01463535e+36	0.00000000e+00
15.30	7.97520807e+35	0.00000000e+00
15.40	6.26791672e+35	0.00000000e+00
15.50	4.92554448e+35	0.00000000e+00
15.60	3.87022110e+35	0.00000000e+00
15.70	3.04066413e+35	0.00000000e+00
15.80	2.38865212e+35	0.00000000e+00
15.90	1.87624594e+35	0.00000000e+00
16.00	1.47360008e+35	0.00000000e+00
16.10	1.15723916e+35	0.00000000e+00
16.20	9.08700602e+34	0.00000000e+00
16.30	7.13466008e+34	0.00000000e+00
16.40	5.60120030e+34	0.00000000e+00
16.50	4.39688214e+34	0.00000000e+00
16.60	3.45115922e+34	0.00000000e+00
16.70	2.70858298e+34	0.00000000e+00
16.80	2.12557683e+34	0.00000000e+00
16.90	1.66789806e+34	0.00000000e+00
17.00	1.30864161e+34	0.00000000e+00
17.10	1.02667028e+34	0.00000000e+00
17.20	8.05379870e+33	0.00000000e+00
17.30	6.31728625e+33	0.00000000e+00
17.40	4.95473948e+33	0.00000000e+00
17.50	3.88572466e+33	0.00000000e+00
17.60	3.04708539e+33	0.00000000e+00
17.70	2.38923611e+33	0.00000000e+00
17.80	1.87325025e+33	0.00000000e+00
17.90	1.46857201e+33	0.00000000e+00
18.00	1.15121872e+33	0.00000000e+00
18.10	9.02368668e+32	0.00000000e+00
18.20	7.07251925e+32	0.00000000e+00
18.30	5.54279295e+32	0.00000000e+00
18.40	4.34358124e+32	0.00000000e+00
18.50	3.40355218e+32	0.00000000e+00
18.60	2.66675080e+32	0.00000000e+00
18.70	2.08928837e+32	0.00000000e+00
18.80	1.63674360e+32	0.00000000e+00
18.90	1.28212270e+32	0.00000000e+00
19.00	1.00425861e+32	0.00000000e+00
19.10	7.86554685e+31	0.00000000e+00
19.20	6.15999034e+31	0.00000000e+00
19.30	4.82391025e+31	0.00000000e+00
19.40	3.77734655e+31	0.00000000e+00
19.50	2.95762565e+31	0.00000000e+00
19.60	2.31562728e+31	0.00000000e+00
19.70	1.81285689e+31	0.00000000e+00
19.80	1.41914937e+31	0.00000000e+00
19.90	1.11086873e+31	0.00000000e+00


#	f17-->o17	tau_cc (hr) = 1.48200000e+00
#	energy (MeV)	capture (MeV^-1 s^-1)	decay (MeV^-1 s^-1)
0.00	0.00000000e+00	0.00000000e+00
0.10	0.00000000e+00	1.38772605e+41
0.20	0.00000000e+00	5.00237339e+41
0.30	0.00000000e+00	1.00829593e+42
0.40	0.00000000e+00	1.59508604e+42
0.50	0.00000000e+00	2.20097119e+42
0.60	0.00000000e+00	2.77452596e+42
0.70	0.00000000e+00	3.27251222e+42
0.80	0.00000000e+00	3.65983994e+42
0.90	0.00000000e+00	3.90949757e+42
1.00	0.00000000e+00	4.00242204e+42
1.10	0.00000000e+00	3.92723982e+42
1.20	0.00000000e+00	3.67971183e+42
1.30	0.00000000e+00	3.26140098e+42
1.40	0.00000000e+00	2.67584844e+42
1.50	0.00000000e+00	1.91361852e+42
1.60	0.00000000e+00	8.32885784e+41
1.70	0.00000000e+00	7.89840004e+38
1.80	0.00000000e+00	3.15862285e+38
1.90	0.00000000e+00	4.31998406e+31
2.00	0.00000000e+00	4.77328675e+31
2.10	0.00000000e+00	5.24779682e+31
2.20	0.00000000e+00	5.74331925e+31
2.30	0.00000000e+00	6.25965945e+31
2.40	0.00000000e+00	6.79662434e+31
2.50	0.00000000e+00	7.35402002e+31
2.60	0.00000000e+00	7.93165359e+31
2.70	2.41965549e+40	8.52933390e+31
2.80	1.07377749e+40	9.14686863e+31
2.90	1.25432307e+40	9.78406663e+31
3.00	1.60022192e+40	1.04407385e+32
3.10	1.86059000e+40	1.11166931e+32
3.20	2.03801527e+40	1.18117422e+32
3.30	2.13282126e+40	1.25256964e+32
3.40	2.14812494e+40	1.32583681e+32
3.50	2.09232411e+40	1.40095690e+32
3.60	1.97887851e+40	1.47791120e+32
3.70	1.82417322e+40	1.55668120e+32
3.80	1.64482697e+40	1.63724811e+32
3.90	1.45551119e+40	1.71959360e+32
4.00	1.26774729e+40	1.80369900e+32
4.10	1.08962804e+40	1.88954603e+32
4.20	9.26154540e+39	1.97711622e+32
4.30	7.79860010e+39	2.06639131e+32
