event_name,RA_deg,Dec_deg,detection_date_utc,distance_mpc,redshift,Type,fluence_j_m2,notes
ASASSN-20ao,13.692454,-51.510964,2020/01/15,112.443,0.024934,Candidate,6.610235,ASASSN-20ao.json
ASASSN-20bn,134.666912,-73.325486,2020/02/01,175.23,0.038473,Candidate,2.721854,ASASSN-20bn.json
ASASSN-20bx,33.166217,-40.230725,2020/02/11,,,Candidate,,ASASSN-20bx.json
ASASSN-20ep,3.163617,-27.258583,2020/04/23,119.906,0.026557,Candidate,5.812994,ASASSN-20ep.json
ASASSN-20es,71.779312,-50.050447,2020/05/13,81.101,0.018076,Candidate,12.706473,ASASSN-20es.json
ASASSN-20fh,275.776767,-77.721764,2020/05/14,20.0,0.0045,Candidate,208.940066,ASASSN-20fh.json
ASASSN-20gv,136.860925,-16.486519,2020/05/26,,,Candidate,,ASASSN-20gv.json
ASASSN-20hd,157.258887,-40.089044,2020/06/14,41.68,0.00935,Candidate,48.108997,ASASSN-20hd.json
ASASSN-20hk,272.093612,17.053594,2020/06/26,,,Candidate,,ASASSN-20hk.json
ASASSN-20ju,198.5721,77.724022,2020/08/11,,,Candidate,,ASASSN-20ju.json
ASASSN-20ky,16.249821,-46.075858,2020/08/26,135.273,0.029887,Candidate,4.567299,ASASSN-20ky.json
ASASSN-20ld,279.287671,-65.2604,2020/08/27,69.369,0.015491,II,17.368142,ASASSN-20ld.json
ASASSN-20le,13.576817,-61.892944,2020/09/07,125.385,0.027746,Candidate,5.316068,ASASSN-20le.json
ASASSN-20ll,14.687446,-67.220314,2020/09/08,,,Candidate,,ASASSN-20ll.json
ASASSN-20lu,2.488925,-57.024569,2020/09/15,143.076,0.031572,Candidate,4.082706,ASASSN-20lu.json
ASASSN-20nx,295.410925,-50.169947,2020/11/06,111.387,0.024704,Candidate,6.736165,ASASSN-20nx.json
ASASSN-20oe,103.502929,-65.416931,2020/11/13,186.696,0.040918,Candidate,2.397793,ASASSN-20oe.json
ASASSN-20qc,63.2602,-53.0727,2020/12/20,258.0,0.056,AGN,1.255574,ASASSN-20qc.json
ASASSN-20qi,174.535,-32.8522,2020/12/22.29,138.688,0.030625,Ia,4.345142,ASASSN-20qi.json
ASASSN-21bu,75.875267,-58.197253,2021/02/19,,,Candidate,,ASASSN-21bu.json
ASASSN-21en,308.008771,-53.749583,2021/03/31,48.678,0.010908,Ic BL,35.271168,ASASSN-21en.json
ASASSN-21fw,73.0788,-3.10722,2021/04/14.98,65.593,0.014657,Unknown,19.425255,ASASSN-21fw.json
ASASSN-21fy,335.111275,-62.6432,2021/04/13,,,Candidate,,ASASSN-21fy.json
ASASSN-21gx,99.969938,-54.651417,2021/05/01,159.527,0.035111,Candidate,3.284077,ASASSN-21gx.json
ASASSN-21ho,0.854258,-49.793331,2021/05/12,170.925,0.037553,Candidate,2.860688,ASASSN-21ho.json
ASASSN-21hw,314.414,-57.2557,2021/05/13.99,,,Unknown,,ASASSN-21hw.json
ASASSN-21jv,41.222462,-17.658778,2021/06/06,112.108,0.024861,Candidate,6.649799,ASASSN-21jv.json
ASASSN-21le,16.8807,-13.269811,2021/06/11,247.385,0.053724,Candidate,1.365636,ASASSN-21le.json
ASASSN-21lz,38.053371,-17.21615,2021/07/05,130.76,0.02891,Candidate,4.888008,ASASSN-21lz.json
ASASSN-21md,70.117483,-9.575,2021/07/07,,,Candidate,,ASASSN-21md.json
ASASSN-21nc,53.186271,-57.600331,2021/07/15,313.274,0.067383,Candidate,0.851595,ASASSN-21nc.json
ASASSN-21or,298.795079,-61.929939,2021/08/04,66.091,0.014767,Candidate,19.133733,ASASSN-21or.json
ASASSN-21qp,253.789271,26.663631,2021/08/29,157.197,0.034611,Ia,3.382153,ASASSN-21qp.json
ASASSN-21qx,207.605617,-52.670064,2021/09/05,54.537,0.012209,Candidate,28.099438,ASASSN-21qx.json
ASASSN-21sk,248.258146,53.199631,2021/10/03,129.755,0.028693,Ic,4.96402,ASASSN-21sk.json
ASASSN-21ts,38.547787,-61.610278,2021/10/22,85.078,0.01895,Candidate,11.546415,ASASSN-21ts.json
ASASSN-21ve,23.334629,-53.840061,2021/11/24,,,Candidate,,ASASSN-21ve.json
ASASSN-21vk,31.485979,-71.128347,2021/11/26,122.771,0.027179,Unknown,5.544854,ASASSN-21vk.json
ASASSN-21vl,25.509317,-42.2536,2021/11/27,274.1,0.0593,Candidate,1.112407,ASASSN-21vl.json
ASASSN-21vn,315.209054,-48.610439,2021/11/30,109.12,0.02421,Candidate,7.018964,ASASSN-21vn.json
ASASSN-21vr,156.967,-43.9021,2021/12/02.29,41.694,0.009354,Ic,48.076694,ASASSN-21vr.json
ASASSN-21vt,204.089267,-35.114967,2021/12/04,63.327,0.014156,Unknown,20.840231,ASASSN-21vt.json
ASASSN-21vu,337.818437,-46.482178,2021/12/01,152.17,0.03353,Unknown,3.609305,ASASSN-21vu.json
ASASSN-21vz,194.941,-22.1732,2021/12/09.35,104.366,0.023173,Ia,7.672973,ASASSN-21vz.json
ASASSN-21wa,39.7934,1.1434,2021/12/09.23,92.244,0.020522,Ia,9.822104,ASASSN-21wa.json
ASASSN-21we,355.831087,-72.570503,2021/12/23,130.53,0.02886,Candidate,4.905249,ASASSN-21we.json
ASASSN-22aa,35.289133,-31.877286,2022/01/03,163.2,0.0359,Unknown,3.137917,ASASSN-22aa.json
ASASSN-22af,63.815829,-50.790233,2022/01/02,263.478,0.057083,Candidate,1.203907,ASASSN-22af.json
ASASSN-22ag,342.555858,-44.32425,2022/01/06,149.439,0.032943,Unknown,3.742431,ASASSN-22ag.json
ASASSN-22ah,28.032246,-16.925303,2022/01/05,,,Unknown,,ASASSN-22ah.json
ASASSN-22bh,88.253337,-73.854669,2022/01/31,,,Unknown,,ASASSN-22bh.json
ASASSN-22ch,32.702529,-7.5577,2022/02/20,148.91,0.032829,Unknown,3.769068,ASASSN-22ch.json
ASASSN-22cu,255.487792,-76.338111,2022/03/01,283.041,0.061146,Unknown,1.043237,ASASSN-22cu.json
ASASSN-22ds,73.089238,-62.573219,2022/03/22,119.837,0.026542,Unknown,5.81969,ASASSN-22ds.json
ASASSN-22dw,321.123562,-71.209289,2022/03/25,,,Candidate,,ASASSN-22dw.json
ASASSN-22eg,306.212792,-15.833719,2022/03/29,88.071,0.019607,Unknown,10.774916,ASASSN-22eg.json
ASASSN-22eh,309.405504,-27.565703,2022/03/29,94.796,0.021081,Unknown,9.300362,ASASSN-22eh.json
ASASSN-22ej,149.984304,-31.148272,2022/03/28,170.458,0.037453,Unknown,2.876385,ASASSN-22ej.json
ASASSN-22ep,305.205833,-48.240878,2022/03/26,45.467,0.010194,Candidate,40.428817,ASASSN-22ep.json
AT2020A,5.437554,32.627664,2020/01/01,478.045,0.100534,Candidate,0.365716,AT2020A.json
AT2020aa,178.605417,26.821375,2020/01/01,,,Candidate,,AT2020aa.json
AT2020aaa,190.436033,32.533153,2020/01/04,5.67,0.00128,Candidate,2599.654312,AT2020aaa.json
AT2020aaaa,335.973521,-24.035831,2020/11/08,,,Candidate,,AT2020aaaa.json
AT2020aaab,43.992646,-3.929594,2020/11/08,,,Candidate,,AT2020aaab.json
