name,ra_deg,dec_deg,redshift,lumdist_mpc,type,discover_date
AT1990am,93.32145833333333,47.76602777777778,,,Candidate,1990/01/28
AT1991bm,273.8100166666666,47.53098611111111,0.040188,183.269,Candidate,1991/08/06
AT1991bn,72.26004166666665,5.866,0.0676,314.3,Candidate,1991/10/13
AT1992bv,48.7728,-54.821222222222225,0.0275,124.3,Candidate,1992/11/19
AT1992bw,1.5106374999999999,14.41408888888889,0.017773,79.7238,Candidate,1992/08/08
AT1992bx,332.4439583333333,18.50236111111111,0.02484,112.01,Candidate,1992/09/30
AT1993am,98.94129166666666,50.599611111111116,,,Candidate,1993/12/10
AT1994ap,325.25833333333327,-82.80002777777777,0.00997,44.46,Candidate,1994/07/04
AT1994aq,241.32687499999994,16.0975,,,Candidate,1994/06/08
AT1994ar,167.85029166666666,26.24077777777778,0.004,18,Candidate,1994/01/16
AT1994as,192.94712499999997,-41.129194444444444,0.0111,49.54,Candidate,1994/04/05
AT1995bg,189.96291666666664,13.86963888888889,0.075,351,Candidate,1995/03/26
AT1996cs,178.68337499999998,26.007,0.0099,44.1,Candidate,1996/02/14
AT1996ct,180.72941666666665,38.03736111111111,,,Candidate,1996/03/18
AT1999gy,244.99187499999994,-1.1747472222222224,,,Candidate,1999/03/21
AT1999gz,179.38309999999998,0.816625,0.06227,288.47,Candidate,1999/03/20
AT1999ha,209.10155833333332,-0.24855555555555556,0.02975,134.64,Candidate,1999/03/21
AT1999hb,177.83925416666665,-0.9718027777777778,0.083,390,Candidate,1999/03/22
GRB 910421,270.68,24.76,,,LGRB,1991/04/21
GRB 910423,193.46999999999997,-8.38,,,LGRB,1991/04/23
GRB 910424,201.30999999999997,-45.41,,,LGRB,1991/04/24
GRB 910425A,91.28999999999998,-22.77,,,LGRB,1991/04/25
GRB 910425B,335.94,25.77,,,LGRB,1991/04/25
GRB 910426,75.82,-19.51,,,LGRB,1991/04/26
GRB 910427,78.85999999999999,-15.59,,,LGRB,1991/04/27
GRB 910430,135.8,2.73,,,LGRB,1991/04/30
GRB 910501,126.53999999999998,-0.23,,,LGRB,1991/05/01
GRB 910503,87.44999999999999,38.74,,,LGRB,1991/05/03
GRB 910507,299.54999999999995,-44.88,,,LGRB,1991/05/07
GRB 910509,339.24999999999994,38.26,,,LGRB,1991/05/09
GRB 910511,266.47999999999996,58.3,,,LGRB,1991/05/11
GRB 910517A,113.57999999999998,49.169999999999995,,,LGRB,1991/05/17
GRB 910518B,249.02,-11.770000000000001,,,LGRB,1991/05/18
GRB 910521A,108.92999999999998,-33.75,,,LGRB,1991/05/21
GRB 910522,137.71999999999997,-50.89,,,LGRB,1991/05/22
GRB 910523A,106.98999999999998,0.3611111111111111,,,LGRB,1991/05/23
GRB 910523B,352.9599999999999,24.89,,,LGRB,1991/05/23
GRB 910525,216.03,-62.82,,,LGRB,1991/05/25
GRB 910528,240.59,43.97,,,LGRB,1991/05/28
GRB 910529,205.42999999999998,-27.4,,,LGRB,1991/05/29
GRB 910601,310.11999999999995,32.34,,,LGRB,1991/06/01
GRB 910602B,142.76000000000002,53.99,,,LGRB,1991/06/02
GRB 910607A,78.75999999999999,-9.36,,,LGRB,1991/06/07
GRB 910612,337.06999999999994,15.42,,,LGRB,1991/06/12
GRB 910614A,174.74999999999997,-12.95,,,LGRB,1991/06/14
GRB 910619,21.169999999999998,-36.57,,,LGRB,1991/06/19
GRB 910620A,67.91999999999999,22.5,,,LGRB,1991/06/20
GRB 910620B,65.80999999999999,65.97,,,LGRB,1991/06/20
GRB 910621A,326.86999999999995,-8.44,,,LGRB,1991/06/21
GRB 910621B,226.92,-12.44,,,LGRB,1991/06/21
GRB 910622,8.458333333333332,-32.8,,,LGRB,1991/06/22
GRB 910627,197.98999999999998,-2.48,,,LGRB,1991/06/27
